//Building Acres
0x0118, Dump #1
0x051C, Ocean #36
0x0520, Ocean #37
0x0524, Ocean #38
0x0528, Ocean #39
0x052C, Ocean #40
0x0530, Ocean #41
0x0534, Ocean #42
0x0538, Ocean #43
0x053C, Ocean #44
0x0540, Ocean #45
0x0544, Ocean #46
0x0548, Ocean #47
0x054C, Ocean #48
0x0550, Ocean #49
0x0554, Ocean #50
0x0558, Ocean #51
0x055C, Ocean #52
0x0560, Ocean #53
0x0564, Ocean #54
0x0568, Ocean #55
0x056C, Ocean #56
0x0570, Ocean #57
0x0574, Ocean #58
0x0578, Ocean #59
0x057C, Ocean #60
0x0580, Ocean #61
0x0584, Ocean #62
0x0588, Ocean #63
0x058C, Ocean #64
0x05B4, Ocean #65
0x05B8, Ocean #66
//Beta Acres
0x0074, Grass Beta Acre
0x0078, Ramp Beta Acre
0x007C, Lake Beta Acre
0x0080, River Beta Acre
0x039C, Slope Test Beta Acre
0x0420, Lake Test Acre
0x0424, Tree Stump Test Acre
0x0428, Title Screen Villager Acre (Paolo & Bob)
0x042C, Title Screen Villager Acre (Vesta)
0x0430, Title Screen Villager Acre (Lobo & Joey)
0x0434, Lighthouse Test Acre
0x0438, Title Screen Villager Acre (Carrie)
0x043C, Title Screen Villager Acre (Tank)
0x0440, Title Screen Villager Acre (Rasher)
0x0444, Title Screen Villager Acre (Biff)
0x0448, Title Screen Villager Acre (Jane)
0x044C, Title Screen Villager Acre (Tybalt)
0x0450, Title Screen Villager Acre (Cube)
0x0454, Multi-Tree Stump Test Acre
0x046C, Museum Test Acre
0x0470, Tailor's Test Acre
0x0474, Suspension Bridge (\) Test Acre
0x0478, Suspension Bridge (/) Test Acre
//Misc. Acres
0x0000, No Acre Data
0x0020, Miniature Inside of House (Unused)
0x0140, Inside of Redd's Tent
0x0144, Inside of Post Office
0x0148, Inside of Train Car #1
0x014C, Inside of Train Car #2
0x01F8, Inside of Police Station
0x029C, Train Tracks w/ Pond #1
0x02A0, Train Tracks w/ Pond #2
0x02A4, Train Tracks #1
0x02A8, Train Tracks #2
0x02AC, Train Tracks #3
0x02B0, Train Tracks #4
0x02B4, Train Tracks #5
0x0300, Inside of Katrina's Tent
0x0304, Game Loading/Saving Area
0x0390, Inside of Nookingtons
0x0458, Inside of Museum Main Room
0x045C, Inside of Museum Painting Room
0x0460, Inside of Museum Fossil Room
0x0464, Inside of Museum Insect Room
0x0468, Inside of Museum Fish Room
0x047C, Inside of Tailor's
0x0590, Inside of Lighthouse
0x05BC, Inside of Camping Tent
0x05C0, Inside of Reset Center
