//Grass Acres
0x0000, Grass Acre #1
//Ocean Acres
0x00A7, Bottom Ocean
0x00A8, Bottom Right Ocean
0x00A9, Bottom Left Ocean
0x00AA, Right Ocean
0x00AB, Left Ocean
0x00AC, Top Left Ocean
0x00AD, Top Ocean
0x00AE, Top Right Ocean
//Island Acres
0x00B4, Island Acre (North) #1
0x00B5, Island Acre (North) #2
0x00B6, Island Acre (North) #3
0x00B7, Island Acre Corner (North <> East) #1
0x00B8, Island Acre Corner (North <> East) #2
0x00B9, Island Acre Corner (North <> East) #3
0x00BA, Island Acre (East) #1
0x00BB, Island Acre (East) #2
0x00BC, Island Acre (East) #3
0x00BD, Island Acre Corner (East <> South) #1
0x00BE, Island Acre Corner (East <> South) #2
0x00BF, Island Acre Corner (East <> South) #3
0x00C0, Island Acre (South) #1
0x00C1, Island Acre (South) #2
0x00C2, Island Acre (South) #3
0x00C3, Island Acre Corner (South <> West) #1
0x00C4, Island Acre Corner (South <> West) #2
0x00C5, Island Acre Corner (South <> West) #3
0x00C6, Island Acre (West) #1
0x00C7, Island Acre (West) #2
0x00C8, Island Acre (West) #3
0x00C9, Island Acre Corner (West <> North) #1
0x00CA, Island Acre Corner (West <> North) #2
0x00CB, Island Acre Corner (West <> North) #3
