//Cliff Acres
0x0000, S-N Cliff #1
0x00CB, Top Border Cliff Gate Exit (Height 2)
0x00CC, Top Border Cliff w/ Waterfall
0x00CD, Top Border Cliff w/ Waterfall (Height 2)
0x00CE, Top Left Border Cliff
0x00CF, Top Left Border Cliff (Height 2)
0x00D0, Top Right Border Cliff
0x00D1, Top Right Border Cliff (Height 2)
0x00D2, Right Border Cliff
0x00D3, Right Border Cliff (Height 2)
0x00D4, Right Border Cliff Transition
0x00D5, Right Border Cliff Transition (Height 2)
0x00D6, Right Border Cliff Ocean Transition
0x00D7, Right Border Cliff Ocean Transition (Height 2)
0x00D8, Ocean
0x00D9, Ocean (Height 2)
//River Acres
0x00DA, River (W-E) #1
0x00DB, River (W-E) #1 (Height 2)
0x00DC, River (W-E) #2
0x00DD, River (W-E) #2 (Height 2)
0x00DE, River (W-E) #3
0x00DF, River (W-E) #3 (Height 2)
0x00E0, River (W-E) w/ Bridge #1
0x00E1, River (W-E) w/ Bridge #1 (Height 2)
0x00E2, River (W-E) w/ Bridge #2
0x00E3, River (W-E) w/ Bridge #2 (Height 2)
0x00E4, River (W-E) w/ Bridge #3
0x00E5, River (W-E) w/ Bridge #3 (Height 2)
0x00E6, River (W-E) w/ Lake #1
0x00E7, River (W-E) w/ Lake #1 (Height 2)
0x00E8, River (W-E) w/ Lake #2
0x00E9, River (W-E) w/ Lake #2 (Height 2)
0x00EA, River (S-W) #1
0x00EB, River (S-W) #1 (Height 2)
0x00EC, River (S-W) #2
0x00ED, River (S-W) #2 (Height 2)
0x00EE, River (S-W) #3
0x00EF, River (S-W) #3 (Height 2)
0x00F0, River (S-W) #4
0x00F1, River (S-W) #4 (Height 2)
0x00F2, River (S-W) w/ Bridge #1
0x00F3, River (S-W) w/ Bridge #1 (Height 2)
0x00F4, River (S-W) w/ Bridge #2
0x00F5, River (S-W) w/ Bridge #2 (Height 2)
0x00F6, River (S-W) w/ Bridge #3
0x00F7, River (S-W) w/ Bridge #3 (Height 2)
0x00F8, River (S-W) w/ Bridge #4
0x00F9, River (S-W) w/ Bridge #4 (Height 2)
0x00FA, River (S-W) w/ Lake #1
0x00FB, River (S-W) w/ Lake #1 (Height 2)
0x00FC, River (S-W) w/ Lake #2
0x00FD, River (S-W) w/ Lake #2 (Height 2)
0x00FE, River Fork (E-S-W) #1
0x00FF, River Fork (E-S-W) #1 (Height 2)
0x0100, River (N-S) #1
0x0101, River (N-S) #1 (Height 2)
0x0102, River (N-S) #2
0x0103, River (N-S) #2 (Height 2)
0x0104, River (N-S) #3
0x0105, River (N-S) #3 (Height 2)
0x0106, River (N-S) w/ Bridge #1
0x0107, River (N-S) w/ Bridge #1 (Height 2)
0x0108, River (N-S) w/ Bridge #2
0x0109, River (N-S) w/ Bridge #2 (Height 2)
0x010A, River (N-S) w/ Bridge #3
0x010B, River (N-S) w/ Bridge #3 (Height 2)
0x010C, River (N-S) w/ Waterfall #1
0x010D, River (N-S) w/ Waterfall #1 (Height 2)
0x010E, River (N-S) w/ Waterfall #2
0x010F, River (N-S) w/ Waterfall #2 (Height 2)
0x0110, River (N-S) w/ Waterfall #3
0x0111, River (N-S) w/ Waterfall #3 (Height 2)
0x0112, River (N-S) w/ Lake #1
0x0113, River (N-S) w/ Lake #1 (Height 2)
0x0114, River (N-S) w/ Lake #2
0x0115, River (N-S) w/ Lake #2 (Height 2)
0x0116, River (S-E) #1
0x0117, River (S-E) #1 (Height 2)
0x0118, River (S-E) #2
0x0119, River (S-E) #2 (Height 2)
0x011A, River (S-E) #3
0x011B, River (S-E) #3 (Height 2)
0x011C, River (S-E) #4
0x011D, River (S-E) #4 (Height 2)
0x011E, River (S-E) w/ Bridge #1
0x011F, River (S-E) w/ Bridge #1 (Height 2)
0x0120, River (S-E) w/ Bridge #2
0x0121, River (S-E) w/ Bridge #2 (Height 2)
0x0122, River (S-E) w/ Bridge #3
0x0123, River (S-E) w/ Bridge #3 (Height 2)
0x0124, River (S-E) w/ Bridge #4
0x0125, River (S-E) w/ Bridge #4 (Height 2)
0x0126, River (S-E) w/ Lake #1
0x0127, River (S-E) w/ Lake #1 (Height 2)
0x0128, River (S-E) w/ Lake #2
0x0129, River (S-E) w/ Lake #2 (Height 2)
0x012A, River Fork (S-E-S) #1
0x012B, River Fork (S-E-S) #1 (Height 2)
0x012C, River Fork (S-E-S) #2
0x012D, River Fork (S-E-S) #2 (Height 2)
0x012E, River (S-W) #1
0x012F, River (S-W) #1 (Height 2)
0x0130, River (S-W) #2
0x0131, River (S-W) #2 (Height 2)
0x0132, River (S-W) #3
0x0133, River (S-W) #3 (Height 2)
0x0134, River (S-W) #4
0x0135, River (S-W) #4 (Height 2)
0x0136, River (S-W) w/ Bridge #1
0x0137, River (S-W) w/ Bridge #1 (Height 2)
0x0138, River (S-W) w/ Bridge #2
0x0139, River (S-W) w/ Bridge #2 (Height 2)
0x013A, River (S-W) w/ Bridge #3
0x013B, River (S-W) w/ Bridge #3 (Height 2)
0x013C, River (S-W) w/ Bridge #4
0x013D, River (S-W) w/ Bridge #4 (Height 2)
0x013E, River (S-W) w/ Lake #1
0x013F, River (S-W) w/ Lake #1 (Height 2)
0x0140, River (S-W) w/ Lake #2
0x0141, River (S-W) w/ Lake #2 (Height 2)
0x0142, River Fork (S-W-E) #1
0x0143, River Fork (S-W-E) #1 (Height 2)
0x0144, River Fork (S-W-E) #2
0x0145, River Fork (S-W-E) #2 (Height 2)
0x0146, River Fork (S-W-S) #1
0x0147, River Fork (S-W-S) #1 (Height 2)
0x0148, River Fork (S-W-S) #2
0x0149, River Fork (S-W-S) #2 (Height 2)
0x014A, River (E-W) #1
0x014B, River (E-W) #1 (Height)
0x014C, River (E-W) #2
0x014D, River (E-W) #2 (Height)
0x014E, River (E-W) #3
0x014F, River (E-W) #3 (Height)
0x0150, River (E-W) w/ Bridge #1
0x0151, River (E-W) w/ Bridge #1 (Height)
0x0152, River (E-W) w/ Bridge #2
0x0153, River (E-W) w/ Bridge #2 (Height)
0x0154, River (E-W) w/ Bridge #3
0x0155, River (E-W) w/ Bridge #3 (Height)
0x0156, River (E-W) w/ Lake #1
0x0157, River (E-W) w/ Lake #1 (Height)
0x0158, River (E-W) w/ Lake #2
0x0159, River (E-W) w/ Lake #2 (Height)
0x015A, River (W-S) #1
0x015B, River (W-S) #1 (Height)
0x015C, River (W-S) #2
0x015D, River (W-S) #2 (Height)
0x015E, River (W-S) #3
0x015F, River (W-S) #3 (Height)
0x0160, River (W-S) #4
0x0161, River (W-S) #4 (Height)
0x0162, River (W-S) w/ Bridge #1
0x0163, River (W-S) w/ Bridge #1 (Height)
0x0164, River (W-S) w/ Bridge #2
0x0165, River (W-S) w/ Bridge #2 (Height)
0x0166, River (W-S) w/ Bridge #3
0x0167, River (W-S) w/ Bridge #3 (Height)
0x0168, River (W-S) w/ Bridge #4
0x0169, River (W-S) w/ Bridge #4 (Height)
0x016A, River (W-S) w/ Lake #1
0x016B, River (W-S) w/ Lake #1 (Height)
0x016C, River (W-S) w/ Lake #2
0x016D, River (W-S) w/ Lake #2 (Height)
0x016E, River Fork (W-S-W) #1
0x016F, River Fork (W-S-W) #1 (Height 2)
