//Flowers
0x0000, Red Tulips
0x00B1, Pattern #3 - Player #2
0x00B2, Pattern #4 - Player #2
0x00B3, Pattern #5 - Player #2
0x00B4, Pattern #6 - Player #2
0x00B5, Pattern #7 - Player #2
0x00B6, Pattern #8 - Player #2
0x00B7, Pattern #1 - Player #3
0x00B8, Pattern #2 - Player #3
0x00B9, Pattern #3 - Player #3
0x00BA, Pattern #4 - Player #3
0x00BB, Pattern #5 - Player #3
0x00BC, Pattern #6 - Player #3
0x00BD, Pattern #7 - Player #3
0x00BE, Pattern #8 - Player #3
0x00BF, Pattern #1 - Player #4
0x00C0, Pattern #2 - Player #4
0x00C1, Pattern #3 - Player #4
0x00C2, Pattern #4 - Player #4
0x00C3, Pattern #5 - Player #4
0x00C4, Pattern #6 - Player #4
0x00C5, Pattern #7 - Player #4
0x00C6, Pattern #8 - Player #4
//Palm Trees
0x00C7, Dead Palm Sapling
0x00C8, Palm Sapling
0x00C9, Small Palm Tree
0x00CA, Medium Palm Tree
0x00CB, Large Palm Sapling
0x00CC, Palm Tree [Fruit]
0x00CD, Palm Tree [No Fruit] #1
0x00CE, Palm Tree [No Fruit] #2
0x00CF, Palm Tree [No Fruit] #3
0x00D0, Small Palm Stump
0x00D1, Medium Palm Stump
0x00D2, Large Palm Stump
0x00D3, Fully Grown Palm Stump
// Buried Turnips
0x00D4, Red Turnip (Buried) #1
0x00D5, Red Turnip (Buried) #2
0x00D6, Red Turnip (Buried) #3
0x00D7, Red Turnip (Buried) #4
0x00D8, Red Turnip (Buried) #5
0x00D9, Red Turnip (Buried) #6
0x00DA, Red Turnip (Buried) #7
0x00DB, Red Turnip (Buried) #8
0x00DC, Red Turnip (Buried) #9
0x00DD, Red Turnip (Buried) #10
0x00DE, Red Turnip (Buried) #11
0x00DF, Red Turnip (Buried) #12
0x00E0, Red Turnip (Buried) #13
0x00E1, Red Turnip (Buried) #14
0x00E2, Dead Red Turnip (Buried)
//Rocks
0x00E3, Rock #1
0x00E4, Rock #2
0x00E5, Rock #3
0x00E6, Rock #4
0x00E7, Rock #5
0x00E8, Money Rock #1
0x00E9, Money Rock #2
0x00EA, Money Rock #3
0x00EB, Money Rock #4
0x00EC, Money Rock #5
//Unused Rocks
0x00ED, Rock #1A
0x00EE, Rock #2A
0x00EF, Rock #3A
0x00F0, Rock #4A
0x00F1, Rock #5A
0x00F2, Rock #1B
0x00F3, Rock #2B
0x00F4, Rock #3B
0x00F5, Rock #4B
0x00F6, Rock #5B
0x00F7, Rock #1C
0x00F8, Rock #2C
0x00F9, Rock #3C
0x00FA, Rock #4C
0x00FB, Rock #5C
//Fake Buried Spot #2
0x00FE, Fake Buried Spot #2
//Special Stumps
0x00FF, Special Small Stump
0x0100, Special Medium Stump
0x0101, Special Large Stump
0x0102, Special Stump
//0x0103 = nothing
//Stationary
0x1000, Butterfly Paper (1)
0x1001, Butterfly Paper (2)
0x1002, Butterfly Paper (3)
0x1003, Butterfly Paper (4)
0x1004, Airmail Paper (1)
0x1005, Airmail Paper (2)
0x1006, Airmail Paper (3)
0x1007, Airmail Paper (4)
0x1008, New Year's Cards (1)
0x1009, New Year's Cards (2)
0x100A, New Year's Cards (3)
0x100B, New Year's Cards (4)
0x100C, Lacy Paper (1)
0x100D, Lacy Paper (2)
0x100E, Lacy Paper (3)
0x100F, Lacy Paper (4)
0x1010, Cloudy Paper (1)
0x1011, Cloudy Paper (2)
0x1012, Cloudy Paper (3)
0x1013, Cloudy Paper (4)
0x1014, Petal Paper (1)
0x1015, Petal Paper (2)
0x1016, Petal Paper (3)
0x1017, Petal Paper (4)
0x1018, Snowy Paper (1)
0x1019, Snowy Paper (2)
0x101A, Snowy Paper (3)
0x101B, Snowy Paper (4)
0x101C, Maple-leaf Paper (1)
0x101D, Maple-leaf Paper (2)
0x101E, Maple-leaf Paper (3)
0x101F, Maple-leaf Paper (4)
0x1020, Lined Paper (1)
0x1021, Lined Paper (2)
0x1022, Lined Paper (3)
0x1023, Lined Paper (4)
0x1024, Notebook Paper (1)
0x1025, Notebook Paper (2)
0x1026, Notebook Paper (3)
0x1027, Notebook Paper (4)
0x1028, Flowery Paper (1)
0x1029, Flowery Paper (2)
0x102A, Flowery Paper (3)
0x102B, Flowery Paper (4)
0x102C, Polka-dot Paper (1)
0x102D, Polka-dot Paper (2)
0x102E, Polka-dot Paper (3)
0x102F, Polka-dot Paper (4)
0x1030, Bottle Paper (1)
0x1031, Bottle Paper (2)
0x1032, Bottle Paper (3)
0x1033, Bottle Paper (4)
0x1034, Ribbon Paper (1)
0x1035, Ribbon Paper (2)
0x1036, Ribbon Paper (3)
0x1037, Ribbon Paper (4)
0x1038, Sparkly Paper (1)
0x1039, Sparkly Paper (2)
0x103A, Sparkly Paper (3)
0x103B, Sparkly Paper (4)
0x103C, Vine Paper (1)
0x103D, Vine Paper (2)
0x103E, Vine Paper (3)
0x103F, Vine Paper (4)
0x1040, Formal Paper (1)
0x1041, Formal Paper (2)
0x1042, Formal Paper (3)
0x1043, Formal Paper (4)
0x1044, Snowman Paper (1)
0x1045, Snowman Paper (2)
0x1046, Snowman Paper (3)
0x1047, Snowman Paper (4)
0x1048, Card Paper (1)
0x1049, Card Paper (2)
0x104A, Card Paper (3)
0x104B, Card Paper (4)
0x104C, Leopard Paper (1)
0x104D, Leopard Paper (2)
0x104E, Leopard Paper (3)
0x104F, Leopard Paper (4)
0x1050, Cow Paper (1)
0x1051, Cow Paper (2)
0x1052, Cow Paper (3)
0x1053, Cow Paper (4)
0x1054, Camouflage Paper (1)
0x1055, Camouflage Paper (2)
0x1056, Camouflage Paper (3)
0x1057, Camouflage Paper (4)
0x1058, Hamburger Paper (1)
0x1059, Hamburger Paper (2)
0x105A, Hamburger Paper (3)
0x105B, Hamburger Paper (4)
0x105C, Piano Paper (1)
0x105D, Piano Paper (2)
0x105E, Piano Paper (3)
0x105F, Piano Paper (4)
0x1060, Nook Paper (1)
0x1061, Nook Paper (2)
0x1062, Nook Paper (3)
0x1063, Nook Paper (4)
0x1064, Fox Paper (1)
0x1065, Fox Paper (2)
0x1066, Fox Paper (3)
0x1067, Fox Paper (4)
0x1068, Birthday Cards (1)
0x1069, Birthday Cards (2)
0x106A, Birthday Cards (3)
0x106B, Birthday Cards (4)
0x106C, Four-leaf Paper (1)
0x106D, Four-leaf Paper (2)
0x106E, Four-leaf Paper (3)
0x106F, Four-leaf Paper (4)
0x1070, Town-hall Paper (1)
0x1071, Town-hall Paper (2)
0x1072, Town-hall Paper (3)
0x1073, Town-hall Paper (4)
0x1074, Tortimer Paper (1)
0x1075, Tortimer Paper (2)
0x1076, Tortimer Paper (3)
0x1077, Tortimer Paper (4)
0x1078, Insurance Paper (1)
0x1079, Insurance Paper (2)
0x107A, Insurance Paper (3)
0x107B, Insurance Paper (4)
0x107C, Academy Paper (1)
0x107D, Academy Paper (2)
0x107E, Academy Paper (3)
0x107F, Academy Paper (4)
0x1080, Lovely Paper (1)
0x1081, Lovely Paper (2)
0x1082, Lovely Paper (3)
0x1083, Lovely Paper (4)
0x1084, Rainbow Paper (1)
0x1085, Rainbow Paper (2)
0x1086, Rainbow Paper (3)
0x1087, Rainbow Paper (4)
0x1088, Egyptian Paper (1)
0x1089, Egyptian Paper (2)
0x108A, Egyptian Paper (3)
0x108B, Egyptian Paper (4)
0x108C, Lotus Paper (1)
0x108D, Lotus Paper (2)
0x108E, Lotus Paper (3)
0x108F, Lotus Paper (4)
0x1090, Tile Paper (1)
0x1091, Tile Paper (2)
0x1092, Tile Paper (3)
0x1093, Tile Paper (4)
0x1094, Mosaic Paper (1)
0x1095, Mosaic Paper (2)
0x1096, Mosaic Paper (3)
0x1097, Mosaic Paper (4)
0x1098, Elegant Paper (1)
0x1099, Elegant Paper (2)
0x109A, Elegant Paper (3)
0x109B, Elegant Paper (4)
0x109C, Town View Paper (1)
0x109D, Town View Paper (2)
0x109E, Town View Paper (3)
0x109F, Town View Paper (4)
0x10A0, Chinese Paper (1)
0x10A1, Chinese Paper (2)
0x10A2, Chinese Paper (3)
0x10A3, Chinese Paper (4)
0x10A4, Ocean Paper (1)
0x10A5, Ocean Paper (2)
0x10A6, Ocean Paper (3)
0x10A7, Ocean Paper (4)
0x10A8, Industrial Paper (1)
0x10A9, Industrial Paper (2)
0x10AA, Industrial Paper (3)
0x10AB, Industrial Paper (4)
0x10AC, Fireworks Paper (1)
0x10AD, Fireworks Paper (2)
0x10AE, Fireworks Paper (3)
0x10AF, Fireworks Paper (4)
0x10B0, Floral Paper (1)
0x10B1, Floral Paper (2)
0x10B2, Floral Paper (3)
0x10B3, Floral Paper (4)
0x10B4, Mushroom Paper (1)
0x10B5, Mushroom Paper (2)
0x10B6, Mushroom Paper (3)
0x10B7, Mushroom Paper (4)
0x10B8, Star Paper (1)
0x10B9, Star Paper (2)
0x10BA, Star Paper (3)
0x10BB, Star Paper (4)
0x10BC, Composer Paper (1)
0x10BD, Composer Paper (2)
0x10BE, Composer Paper (3)
0x10BF, Composer Paper (4)
0x10C0, Bathtub Paper (1)
0x10C1, Bathtub Paper (2)
0x10C2, Bathtub Paper (3)
0x10C3, Bathtub Paper (4)
0x10C4, SMB3 Paper (1)
0x10C5, SMB3 Paper (2)
0x10C6, SMB3 Paper (3)
0x10C7, SMB3 Paper (4)
0x10C8, Cool Paper (1)
0x10C9, Cool Paper (2)
0x10CA, Cool Paper (3)
0x10CB, Cool Paper (4)
0x10CC, Forest Paper (1)
0x10CD, Forest Paper (2)
0x10CE, Forest Paper (3)
0x10CF, Forest Paper (4)
0x10D0, Bubble Paper (1)
0x10D1, Bubble Paper (2)
0x10D2, Bubble Paper (3)
0x10D3, Bubble Paper (4)
0x10D4, Buttercup Paper (1)
0x10D5, Buttercup Paper (2)
0x10D6, Buttercup Paper (3)
0x10D7, Buttercup Paper (4)
0x10D8, Tartan Paper (1)
0x10D9, Tartan Paper (2)
0x10DA, Tartan Paper (3)
0x10DB, Tartan Paper (4)
0x10DC, Plaid Paper (1)
0x10DD, Plaid Paper (2)
0x10DE, Plaid Paper (3)
0x10DF, Plaid Paper (4)
0x10E0, Lemon-lime Paper (1)
0x10E1, Lemon-lime Paper (2)
0x10E2, Lemon-lime Paper (3)
0x10E3, Lemon-lime Paper (4)
0x10E4, Crater Paper (1)
0x10E5, Crater Paper (2)
0x10E6, Crater Paper (3)
0x10E7, Crater Paper (4)
0x10E8, Bejeweled Paper (1)
0x10E9, Bejeweled Paper (2)
0x10EA, Bejeweled Paper (3)
0x10EB, Bejeweled Paper (4)
0x10EC, Geometric Paper (1)
0x10ED, Geometric Paper (2)
0x10EE, Geometric Paper (3)
0x10EF, Geometric Paper (4)
0x10F0, Southwest Paper (1)
0x10F1, Southwest Paper (2)
0x10F2, Southwest Paper (3)
0x10F3, Southwest Paper (4)
0x10F4, Night Sky Paper (1)
0x10F5, Night Sky Paper (2)
0x10F6, Night Sky Paper (3)
0x10F7, Night Sky Paper (4)
0x10F8, Chic Paper (1)
0x10F9, Chic Paper (2)
0x10FA, Chic Paper (3)
0x10FB, Chic Paper (4)
0x10FC, Goldfish Paper (1)
0x10FD, Goldfish Paper (2)
0x10FE, Goldfish Paper (3)
0x10FF, Goldfish Paper (4)
//Wallpaper
0x1100, Exotic Wall
0x1101, Lovely Wall
0x1102, Classic Wall
0x1103, Ranch Wall
0x1104, Cabana Wall
0x1105, Blue Wall
0x1106, Modern Wall
0x1107, Regal Wall
0x1108, Green Wall
0x1109, Cabin Wall
0x110A, Kiddie Wall
0x110B, Robo-wall
0x110C, Snowman Wall
0x110D, Forest Wall
0x110E, Western Vista
0x110F, Lunar Horizon
0x1110, Blue Tarp
0x1111, Ringside Seating
0x1112, Backyard Fence
0x1113, Playroom Wall
0x1114, Sea View
0x1115, Lab Wall
0x1116, Pastel Dot Wall
0x1117, Parlor Wall
0x1118, Mod Wall
0x1119, Groovy Wall
0x111A, Mosaic Wall
0x111B, Blue-trim Wall
0x111C, Plaster Wall
0x111D, Chic Wall
0x111E, Ornate Wall
0x111F, Citrus Wall
0x1120, Rose Wall
0x1121, Old Brick Wall
0x1122, Shoji Screen
0x1123, Stone Wall
0x1124, Concrete Wall
0x1125, Shanty Wall
0x1126, Wood Paneling
0x1127, Floral Wall
0x1128, Music Room Wall
0x1129, Manor Wall
0x112A, Plaza Wall
0x112B, Lattice Wall
0x112C, Stately Wall
0x112D, Imperial Wall
0x112E, Arched Window
0x112F, Bamboo Wall
0x1130, Ivy Wall
0x1131, Ancient Wall
0x1132, Exquisite Wall
0x1133, Persian Wall
0x1134, Industrial Wall
0x1135, Library Wall
0x1136, Fairy Tale Wall
0x1137, Illusion Wall
0x1138, Meadow Vista
0x1139, Tropical Vista
0x113A, Desert Vista
0x113B, Chainlink Fence
0x113C, Sky Wall
0x113D, Cityscape Wall
0x113E, Common Wall
0x113F, Mushroom Mural
0x1140, Nook's Cranny Wallpaper
0x1141, Nook 'n' Go Wallpaper
0x1142, Nookway Wallpaper
0x1143, Nookington's Wallpaper
//Carpets
0x1144, Exotic Rug
0x1145, Lovely Carpet
0x1146, Classic Carpet
0x1147, Ranch Flooring
0x1148, Cabana Flooring
0x1149, Blue Flooring
0x114A, Modern Tile
0x114B, Regal Carpet
0x114C, Green Rug
0x114D, Cabin Rug
0x114E, Kiddie Carpet
0x114F, Robo-floor
0x1150, Snowman Carpet
0x1151, Forest Floor
0x1152, Western Desert
0x1153, Lunar Surface
0x1154, Closed Road
0x1155, Boxing Ring Mat
0x1156, Backyard Lawn
0x1157, Playroom Rug
0x1158, Ship Deck
0x1159, Lab Floor
0x115A, Pastel Dot Rug
0x115B, Checkered Tile
0x115C, Ceramic Tile
0x115D, Diner Tile
0x115E, Red Tile
0x115F, Mosaic Tile
0x1160, Plaza Tile
0x1161, Palace Tile
0x1162, Imperial Tile
0x1163, Kitchen Tile
0x1164, Stone Tile
0x1165, Charcoal Tile
0x1166, Tatami Floor
0x1167, Slate Flooring
0x1168, Concrete Floor
0x1169, Parquet Floor
0x116A, Music Room Floor
0x116B, Opulent Rug
0x116C, Plush Carpet
0x116D, Ornate Rug
0x116E, Fancy Carpet
0x116F, Exquisite Rug
0x1170, Persian Rug
0x1171, Tartan Rug
0x1172, Round Carpet
0x1173, Citrus Carpet
0x1174, Cowhide Rug
0x1175, Birch Flooring
0x1176, Old Flooring
0x1177, Bamboo Flooring
0x1178, Steel Flooring
0x1179, Shanty Mat
0x117A, Ancient Tile
0x117B, Fairy Tale Floor
0x117C, Illusion Floor
0x117D, Daisy Meadow
0x117E, Tropical Floor
0x117F, Saharah's Desert
0x1180, Sandlot
0x1181, Cloud Flooring
0x1182, Common Floor
0x1183, Block Floor
0x1184, Nook's Cranny Flooring
0x1185, Nook 'n' Go Flooring
0x1186, Nookway Flooring
0x1187, Nookington's Flooring
0x1188, Custom Wall Paper (Player 1) #1
0x1189, Custom Wall Paper (Player 1) #2
0x118A, Custom Wall Paper (Player 1) #3
0x118B, Custom Wall Paper (Player 1) #4
0x118C, Custom Wall Paper (Player 1) #5
0x118D, Custom Wall Paper (Player 1) #6
0x118E, Custom Wall Paper (Player 1) #7
0x118F, Custom Wall Paper (Player 1) #8
0x1190, Custom Wall Paper (Player 2) #1
0x1191, Custom Wall Paper (Player 2) #2
0x1192, Custom Wall Paper (Player 2) #3
0x1193, Custom Wall Paper (Player 2) #4
0x1194, Custom Wall Paper (Player 2) #5
0x1195, Custom Wall Paper (Player 2) #6
0x1196, Custom Wall Paper (Player 2) #7
0x1197, Custom Wall Paper (Player 2) #8
0x1198, Custom Wall Paper (Player 3) #1
0x1199, Custom Wall Paper (Player 3) #2
0x119A, Custom Wall Paper (Player 3) #3
0x119B, Custom Wall Paper (Player 3) #4
0x119C, Custom Wall Paper (Player 3) #5
0x119D, Custom Wall Paper (Player 3) #6
0x119E, Custom Wall Paper (Player 3) #7
0x119F, Custom Wall Paper (Player 3) #8
0x11A0, Custom Wall Paper (Player 4) #1
0x11A1, Custom Wall Paper (Player 4) #2
0x11A2, Custom Wall Paper (Player 4) #3
0x11A3, Custom Wall Paper (Player 4) #4
0x11A4, Custom Wall Paper (Player 4) #5
0x11A5, Custom Wall Paper (Player 4) #6
0x11A6, Custom Wall Paper (Player 4) #7
0x11A7, Custom Wall Paper (Player 4) #8
//Shirts
0x11A8, Work Uniform
0x11A9, One-ball Shirt
0x11AA, Two-ball Shirt
0x11AB, Three-ball Shirt
0x11AC, Four-ball Shirt
0x11AD, Five-ball Shirt
0x11AE, Six-ball Shirt
0x11AF, Seven-ball Shirt
0x11B0, Eight-ball Shirt
0x11B1, Nine-ball Shirt
0x11B2, Paw Shirt
0x11B3, Daisy Shirt
0x11B4, Tulip Shirt
0x11B5, Cherry Shirt
0x11B6, Skull Shirt
0x11B7, U R Here Shirt
0x11B8, Lightning Shirt
0x11B9, MVP Shirt
0x11BA, BB Shirt
0x11BB, Frog Shirt
0x11BC, Bear Shirt
0x11BD, Bunny Shirt
0x11BE, Elephant Shirt
0x11BF, Spade Shirt
0x11C0, Diamond Shirt
0x11C1, Club Shirt
0x11C2, Heart Shirt
0x11C3, Big Star Shirt
0x11C4, Bright Shirt
0x11C5, A Shirt
0x11C6, No. 1 Shirt
0x11C7, No. 2 Shirt
0x11C8, No. 3 Shirt
0x11C9, No. 4 Shirt
0x11CA, No. 5 Shirt
0x11CB, No. 23 Shirt
0x11CC, No. 67 Shirt
0x11CD, Big Bro's Shirt
0x11CE, Li'l Bro's Shirt
0x11CF, Cloudy Shirt
0x11D0, Fresh Shirt
0x11D1, Dawn Shirt
0x11D2, Misty Shirt
0x11D3, Sunset Top
0x11D4, Deep Blue Tee
0x11D5, Peachy Shirt
0x11D6, Rainbow Shirt
0x11D7, Snowcone Shirt
0x11D8, Orange Tie-dye
0x11D9, Purple Tie-dye
0x11DA, Green Tie-dye
0x11DB, Blue Tie-dye
0x11DC, Red Tie-dye
0x11DD, Bold Check Shirt
0x11DE, Cafe Shirt
0x11DF, Checkered Shirt
0x11E0, Blue Check Shirt
0x11E1, Red Check Shirt
0x11E2, Rugby Shirt
0x11E3, Green Bar Shirt
0x11E4, Yellow Bar Shirt
0x11E5, Grape Stripe Tee
0x11E6, Beatnik Shirt
0x11E7, Red Bar Shirt
0x11E8, Blue Stripe Knit
0x11E9, Gelato Shirt
0x11EA, Chain-gang Shirt
0x11EB, Yellow Tartan
0x11EC, Fall Plaid Shirt
0x11ED, Blue Tartan
0x11EE, Dapper Shirt
0x11EF, Natty Shirt
0x11F0, Blue Grid Shirt
0x11F1, Red Grid Shirt
0x11F2, Dazed Shirt
0x11F3, Checkerboard Tee
0x11F4, Toad Shirt
0x11F5, Dark Polka Shirt
0x11F6, Lite Polka Shirt
0x11F7, Bubble Gum Shirt
0x11F8, Funky Dot Shirt
0x11F9, Gumdrop Shirt
0x11FA, Big Dot Shirt
0x11FB, Aqua Polka Shirt
0x11FC, Blue Pinstripe
0x11FD, Yellow Pinstripe
0x11FE, Orange Pinstripe
0x11FF, Vegetarian Shirt
0x1200, Racer Shirt
0x1201, Vertigo Shirt
0x1202, Barber Shirt
0x1203, Jade Check Print
0x1204, Blue Check Print
0x1205, Mint Gingham Top
0x1206, Picnic Shirt
0x1207, Candy Gingham
0x1208, Lemon Gingham
0x1209, Melon Gingham
0x120A, Bad Plaid Shirt
0x120B, Pink Tartan
0x120C, Waffle Shirt
0x120D, Gray Tartan
0x120E, Chevron Shirt
0x120F, Icy Shirt
0x1210, Aurora Knit
0x1211, Winter Sweater
0x1212, Folk Shirt
0x1213, Argyle Knit
0x1214, Uncommon Shirt
0x1215, Comfy Sweater
0x1216, Beige Knit
0x1217, Earthy Knit
0x1218, Spring Shirt
0x1219, Vogue Top
0x121A, Citrus Gingham
0x121B, Floral Knit
0x121C, Dreamy Shirt
0x121D, Flowery Shirt
0x121E, Silk Bloom Shirt
0x121F, Pop Bloom Shirt
0x1220, Blossom Shirt
0x1221, Loud Bloom Shirt
0x1222, Rose Shirt
0x1223, Rose Sky Shirt
0x1224, Lotus Shirt
0x1225, Chocomint Shirt
0x1226, Fern Shirt
0x1227, Blue Retro Shirt
0x1228, Orange Check Tee
0x1229, Leaf Shirt
0x122A, Fall Leaf Shirt
0x122B, Grass Shirt
0x122C, Snow Shirt
0x122D, Lovely Shirt
0x122E, Bubble Shirt
0x122F, Chichi Print
0x1230, Coral Shirt
0x1231, Groovy Shirt
0x1232, Cool Shirt
0x1233, Swell Shirt
0x1234, Blue Diamond Top
0x1235, Prism Shirt
0x1236, Go-go Shirt
0x1237, Flame Shirt
0x1238, Danger Shirt
0x1239, Gracie's Top
0x123A, Future Shirt
0x123B, Optical Shirt
0x123C, Twinkle Shirt
0x123D, Star Shirt
0x123E, Night Sky Tee
0x123F, Amethyst Shirt
0x1240, Nebula Shirt
0x1241, Dice Shirt
0x1242, Kiddie Shirt
0x1243, Airy Shirt
0x1244, Polar Fleece
0x1245, Crossing Shirt
0x1246, Splendid Shirt
0x1247, Jagged Shirt
0x1248, Subdued Print
0x1249, Sharp Outfit
0x124A, Jungle Camo
0x124B, Arctic Camo
0x124C, Desert Camo
0x124D, Zebra Shirt
0x124E, Tiger Shirt
0x124F, Cow Shirt
0x1250, Leopard Shirt
0x1251, Giraffe Shirt
0x1252, Ladybug Shirt
0x1253, Butterfly Shirt
0x1254, Spiderweb Shirt
0x1255, Caterpillar Tee
0x1256, Fiendish Shirt
0x1257, Citrus Shirt
0x1258, Kiwi Shirt
0x1259, Watermelon Shirt
0x125A, Strawberry Shirt
0x125B, Grape Shirt
0x125C, Melon Shirt
0x125D, Pink Wave Shirt
0x125E, Flan Shirt
0x125F, Hot Dog Shirt
0x1260, Sandwich Shirt
0x1261, Dragon Suit
0x1262, Asian Shirt
0x1263, Hot Spring Shirt
0x1264, New Spring Shirt
0x1265, Crewel Shirt
