0x7FFE, Empty
0x008A, Blue Hydrangea Bush (Growing 2)
0x008B, Blue Hydrangea Bush
0x008C, Pink Hydrangea Bush (Growing 1)
0x008D, Pink Hydrangea Bush (Growing 2)
0x008E, Pink Hydrangea Bush
0x008F, Red Hibiscus Bush (Growing 1)
0x0090, Red Hibiscus Bush (Growing 2)
0x0091, Red Hibiscus Bush
0x0092, Yellow Hibiscus Bush (Growing 1)
0x0093, Yellow Hibiscus Bush (Growing 2)
0x0094, Yellow Hibiscus Bush
0x0095, Sweet Olive Bush (Growing 1)
0x0096, Sweet Olive Bush (Growing 2)
0x0097, Sweet Olive Bush
//Rocks:
0x0098, Rock (A)
0x0099, Rock (B)
0x009A, Rock (C)
0x009B, Rock (D)
0x009C, Rock (E)
//Misc:
0x009D, Pattern
0x009E, Hole
//Outside Flowers:
0x009F, Red Tulips
0x00A0, White Tulips
0x00A1, Yellow Tulips
0x00A2, Pink Tulips
0x00A3, Purple Tulips
0x00A4, Black Tulips
0x00A5, Orange Tulips
0x00A6, White Pansies
0x00A7, Yellow Pansies
0x00A8, Red Pansies
0x00A9, Purple Pansies
0x00AA, Orange Pansies
0x00AB, Blue Pansies
0x00AC, White Cosmos
0x00AD, Red Cosmos
0x00AE, Yellow Cosmos
0x00AF, Pink Cosmos
0x00B0, Orange Cosmos
0x00B1, Black Cosmos
0x00B2, Red Roses
0x00B3, White Roses
0x00B4, Yellow Roses
0x00B5, Pink Roses
0x00B6, Orange Roses
0x00B7, Purple Roses
0x00B8, Black Roses
0x00B9, Blue Roses
0x00BA, Gold Roses
0x00BB, Red Carnations
0x00BC, Pink Carnations
0x00BD, White Carnations
0x00BE, White Lilies
0x00BF, Yellow Lilies
0x00C0, Red Lilies
0x00C1, Orange Lilies
0x00C2, Pink Lilies
0x00C3, Black Lilies
0x00C4, Purple Violets
0x00C5, Blue Violets
0x00C6, White Violets
0x00C7, Yellow Violets
0x00C8, Jacob's Ladder
0x00C9, Lucky Clovers
0x00CA, Dandelions
0x00CB, Dandelion Puffs
0x00CC, Clovers (Weed)
0x00CD, Rafflesia
//Outside Flowers (Wilted):
0x00CE, Red Tulips (Wilted)
0x00CF, White Tulips (Wilted)
0x00D0, Yellow Tulips (Wilted)
0x00D1, Pink Tulips (Wilted)
0x00D2, Purple Tulips (Wilted)
0x00D3, Black Tulips (Wilted)
0x00D4, Orange Tulips (Wilted)
0x00D5, White Pansies (Wilted)
0x00D6, Yellow Pansies (Wilted)
0x00D7, Red Pansies (Wilted)
0x00D8, Purple Pansies (Wilted)
0x00D9, Orange Pansies (Wilted)
0x00DA, Blue Pansies (Wilted)
0x00DB, White Cosmos (Wilted)
0x00DC, Red Cosmos (Wilted)
0x00DD, Yellow Cosmos (Wilted)
0x00DE, Pink Cosmos (Wilted)
0x00DF, Orange Cosmos (Wilted)
0x00E0, Black Cosmos (Wilted)
0x00E1, Red Roses (Wilted)
0x00E2, White Roses (Wilted)
0x00E3, Yellow Roses (Wilted)
0x00E4, Pink Roses (Wilted)
0x00E5, Orange Roses (Wilted)
0x00E6, Purple Roses (Wilted)
0x00E7, Black Roses (Wilted)
0x00E8, Blue Roses (Wilted)
0x00E9, Gold Roses (Wilted)
0x00EA, Red Carnations (Wilted)
0x00EB, Pink Carnations (Wilted)
0x00EC, White Carnations (Wilted)
0x00ED, White Lilies (Wilted)
0x00EE, Yellow Lilies (Wilted)
0x00EF, Red Lilies (Wilted)
0x00F0, Orange Lilies (Wilted)
0x00F1, Pink Lilies (Wilted)
0x00F2, Black Lilies (Wilted)
0x00F3, Purple Violets (Wilted)
0x00F4, Blue Violets (Wilted)
0x00F5, White Violets (Wilted)
0x00F6, Yellow Violets (Wilted)
0x00F7, Jacob's Ladder (Wilted)
0x00F8, Rafflesia (Wilted)
0x00F9, Weird Seed Item
0x00FA, Fake Red Rose
0x00FB, Island Tour Holly Bush
0x00FC, Fake Jacob's Ladder (Wilted)
0x00FD, Fake Hole
0x2000, Mii Mask
//Fruit
0x2001, Apple
0x2002, Orange
0x2003, Pear
0x2004, Peach
0x2005, Cherry
0x2006, Coconut
0x2007, Durian
0x2008, Lemon
0x2009, Lychee
0x200A, Mango
0x200B, Persimmon
0x200C, Banana
0x200D, Bamboo Shoot
0x200E, Perfect Apple
0x200F, Perfect Orange
0x2010, Perfect Pear
0x2011, Perfect Peach
0x2012, Perfect Cherry
0x2013, Rotten Apple
0x2014, Rotten Orange
0x2015, Rotten Pear
0x2016, Rotten Peach
0x2017, Rotten Cherry
//Fruits
0x2018, Apples
0x2019, Oranges
0x201A, Pears
0x201B, Peaches
0x201C, Cherries
0x201D, Coconuts
0x201E, Durians
0x201F, Lemons
0x2020, Lychees
0x2021, Mangoes
0x2022, Persimmons
0x2023, Bananas
0x2024, Bamboo Shoots
0x2025, Perfect Apples
0x2026, Perfect Oranges
0x2027, Perfect Pears
0x2028, Perfect Peaches
0x2029, Perfect Cherries
//Garden
0x202A, Fossil
0x202B, Fertilizer
0x202C, Sapling
0x202D, Cedar Sapling
0x202E, Holly Shoot
0x202F, Pink Azalea Shoot
0x2030, White Azalea Shoot
0x2031, Blue Hydrangea Shoot
0x2032, Pink Hydrangea Shoot
0x2033, Red Hibiscus Shoot
0x2034, Y. Hibiscus Shoot
0x2035, Sweet Olive Shoot
0x2036, Present
0x2037, Present For Another Villager (Sprite)
//Garden (2)
0x2038, Red-Tulip Bag
0x2039, White-Tulip Bag
0x203A, Yellow-Tulip Bag
0x203B, Pink-Tulip Bag
0x203C, Purple-Tulip Bag
0x203D, Black-Tulip Bag
0x203E, Orange-Tulip Bag
0x203F, White-Pansy Bag
0x2040, Yellow-Pansy Bag
0x2041, Red-Pansy Bag
0x2042, Purple-Pansy Bag
0x2043, Orange-Pansy Bag
0x2044, Blue-Pansy Bag
0x2045, White-Cosmos Bag
0x2046, Red-Cosmos Bag
0x2047, Sun-Cosmos Bag
0x2048, Pink-Cosmos Bag
0x2049, Orange-Cosmos Bag
0x204A, Black-Cosmos Bag
0x204B, Red-Rose Bag
0x204C, White-Rose Bag
0x204D, Yellow-Rose Bag
0x204E, Pink-Rose Bag
0x204F, Orange-Rose Bag
0x2050, Purple-Rose Bag
0x2051, Black-Rose Bag
0x2052, Blue-Rose Bag
0x2053, Gold-Rose Bag
0x2054, Red-Carnation Bag
0x2055, Pink-Carnation Bag
0x2056, White-Carnation Bag
0x2057, White-Lily Bag
0x2058, Yellow-Lily Bag
0x2059, Red-Lily Bag
0x205A, Orange-Lily Bag
0x205B, Pink-Lily Bag
0x205C, Black-Lily Bag
0x205D, Purple-Violet Bag
0x205E, Blue-Violet Bag
0x205F, White-Violet Bag
0x2060, Yellow-Violet Bag
//NPC Building's Items:
0x2061, Uni-Directional Chair (Invisible)
0x2062, Café Dining Chair (Invisible)
0x2063, Town Hall Chair (Invisible)
0x2066, Campsite Log Seat (Invisible)
0x2067, RV Right Chair (Invisible)
0x2068, RV Left Chair (Invisible)
0x206A, Campsite Tree Stump (Invisible)
0x206B, Campsite Hammock (Invisible)
0x206C, Dream Suite Bed (Invisible)
0x206D, Dream Suite Couch (Invisible)
0x206F, Museum Cushion Chair (Invisible)
0x2073, RV Radio (Invisible)
0x2074, DJ K.K. Table
0x2075, 1x1 Museum Item Podium (Fossils)
0x2076, 1x2 Museum Item Stand (Dinosaurs)
0x2077, 2x2 Museum Item Stand (Dinosaurs)
0x2079, 1x1 Shops Item Hangup
0x207A, 1x2 Shops Item Hangup
0x207B, Retail Chair (Invisible)
0x207C, Island Hut Chair (Invisible)
0x207D, Harvey's Chair (Invisible)
0x207E, Moving Boxes
0x207F, Moving Boxes Medium
0x2080, Moving Boxes Large
0x2081, Train Station Locker
0x2082, Museum Locker
0x2083, General Sold-Out Sign
0x2084, Gracie Sold-Out Sign
0x2085, Retail Sold-Out Sign
0x2086, Nooklings Sold-Out Sign (Wall)
0x2087, Gracie Sold-Out Sign (Wall)
0x2088, Redd Sold-Out Sign
//Garden (3)
0x2089, Wrapping Paper
0x208A, Medicine
0x208B, Chocolate Heart
0x208C, Pearl-Oyster Shell
0x208D, Conch Shell
0x208E, Giant-Clam Shell
0x208F, Coral
0x2090, Venus-Comb Shell
0x2091, Scallop Shell
0x2092, Sea-Snail Shell
0x2093, Cowrie Shell
0x2094, Sand Dollar
0x2095, Oyster Shell
0x2096, Candy
0x2097, Lollipop
0x2098, Elegant Mushroom
0x2099, Round Mushroom
0x209A, Skinny Mushroom
0x209B, Flat Mushroom
0x209C, Rare Mushroom
0x209D, Famous Mushroom
0x209E, Beehive
0x209F, Pitfall Seed
0x20A0, Tricky Pitfall Seed
0x20A1, Gold Nugget
0x20A2, Silver Nugget
0x20A3, Ruby
0x20A4, Sapphire
0x20A5, Emerald
0x20A6, Amethyst
0x20A7, Butter
0x20A8, Milk
0x20A9, Vinegar
0x20AA, Flour
0x20AB, Sugar
0x20AC, 100 Bells
0x20AD, 200 Bells
0x20AE, 300 Bells
0x20AF, 400 Bells
0x20B0, 500 Bells
0x20B1, 600 Bells
0x20B2, 700 Bells
0x20B3, 800 Bells
0x20B4, 900 Bells
0x20B5, 1,000 Bells
0x20B6, 2,000 Bells
0x20B7, 3,000 Bells
0x20B8, 4,000 Bells
0x20B9, 5,000 Bells
0x20BA, 6,000 Bells
0x20BB, 7,000 Bells
0x20BC, 8,000 Bells
0x20BD, 9,000 Bells
0x20BE, 10,000 Bells
0x20BF, 11,000 Bells
0x20C0, 12,000 Bells
0x20C1, 13,000 Bells
0x20C2, 14,000 Bells
0x20C3, 15,000 Bells
0x20C4, 16,000 Bells
0x20C5, 17,000 Bells
0x20C6, 18,000 Bells
0x20C7, 19,000 Bells
0x20C8, 20,000 Bells
0x20C9, 21,000 Bells
0x20CA, 22,000 Bells
0x20CB, 23,000 Bells
0x20CC, 24,000 Bells
0x20CD, 25,000 Bells
0x20CE, 26,000 Bells
0x20CF, 27,000 Bells
0x20D0, 28,000 Bells
0x20D1, 29,000 Bells
0x20D2, 30,000 Bells
0x20D3, 31,000 Bells
0x20D4, 32,000 Bells
0x20D5, 33,000 Bells
0x20D6, 34,000 Bells
0x20D7, 35,000 Bells
0x20D8, 36,000 Bells
0x20D9, 37,000 Bells
0x20DA, 38,000 Bells
0x20DB, 39,000 Bells
0x20DC, 40,000 Bells
0x20DD, 41,000 Bells
0x20DE, 42,000 Bells
0x20DF, 43,000 Bells
0x20E0, 44,000 Bells
0x20E1, 45,000 Bells
0x20E2, 46,000 Bells
0x20E3, 47,000 Bells
0x20E4, 48,000 Bells
0x20E5, 49,000 Bells
0x20E6, 50,000 Bells
0x20E7, 51,000 Bells
0x20E8, 52,000 Bells
0x20E9, 53,000 Bells
0x20EA, 54,000 Bells
0x20EB, 55,000 Bells
0x20EC, 56,000 Bells
0x20ED, 57,000 Bells
0x20EE, 58,000 Bells
0x20EF, 59,000 Bells
0x20F0, 60,000 Bells
0x20F1, 61,000 Bells
0x20F2, 62,000 Bells
0x20F3, 63,000 Bells
0x20F4, 64,000 Bells
0x20F5, 65,000 Bells
0x20F6, 66,000 Bells
0x20F7, 67,000 Bells
0x20F8, 68,000 Bells
0x20F9, 69,000 Bells
0x20FA, 70,000 Bells
0x20FB, 71,000 Bells
0x20FC, 72,000 Bells
0x20FD, 73,000 Bells
0x20FE, 74,000 Bells
0x20FF, 75,000 Bells
0x2100, 76,000 Bells
0x2101, 77,000 Bells
0x2102, 78,000 Bells
0x2103, 79,000 Bells
0x2104, 80,000 Bells
0x2105, 81,000 Bells
0x2106, 82,000 Bells
0x2107, 83,000 Bells
0x2108, 84,000 Bells
0x2109, 85,000 Bells
0x210A, 86,000 Bells
0x210B, 87,000 Bells
0x210C, 88,000 Bells
0x210D, 89,000 Bells
0x210E, 90,000 Bells
0x210F, 91,000 Bells
0x2110, 92,000 Bells
0x2111, 93,000 Bells
0x2112, 94,000 Bells
0x2113, 95,000 Bells
0x2114, 96,000 Bells
0x2115, 97,000 Bells
0x2116, 98,000 Bells
0x2117, 99,000 Bells
0x2118, Earth Egg
0x2119, Tree Egg
0x211A, Stone Egg
0x211B, Sky Egg
0x211C, Winning Ticket
0x211D, Grand-Prize Ticket
//Mushroomized Furniture
0x211E, Forest Wall (Mushroomized)
0x211F, Forest Floor (Mushroomized)
0x2120, Mush Bed (Mushroomized)
0x2121, Mush Dresser (Mushroomized)
0x2122, Mush Closet (Mushroomized)
0x2123, Mush Chair (Mushroomized)
0x2124, Mush Stool (Mushroomized)
0x2125, Mush Table (Mushroomized)
0x2126, Mush End Table (Mushroomized)
0x2127, Mush Lamp (Mushroomized)
0x2128, Mush Wall Lamp (Mushroomized)
0x2129, Mush TV (Mushroomized)
0x212A, Mush Hanger (Mushroomized)
//Songs
0x212B, K.K. Chorale
0x212C, K.K. March
0x212D, K.K. Waltz
0x212E, K.K. Swing
0x212F, K.K. Jazz
0x2130, K.K. Fusion
0x2131, K.K. Étude
0x2132, K.K. Lullaby
0x2133, K.K. Aria
0x2134, K.K. Samba
0x2135, K.K. Bossa
0x2136, K.K. Calypso
0x2137, K.K. Salsa
0x2138, K.K. Mambo
0x2139, K.K. Reggae
0x213A, K.K. Ska
0x213B, K.K. Tango
0x213C, K.K. Faire
0x213D, Aloha K.K.
0x213E, Lucky K.K.
0x213F, K.K. Condor
0x2140, K.K. Steppe
0x2141, Imperial K.K.
0x2142, K.K. Casbah
0x2143, K.K. Safari
0x2144, K.K. Folk
0x2145, K.K. Rock
0x2146, Rockin' K.K.
0x2147, K.K. Ragtime
0x2148, K.K. Gumbo
0x2149, The K. Funk
0x214A, K.K. Blues
0x214B, Soulful K.K.
0x214C, K.K. Soul
0x214D, K.K. Cruisin'
0x214E, K.K. Love Song
0x214F, K.K. D&B
0x2150, K.K. Technopop
0x2151, DJ K.K.
0x2152, Only Me
0x2153, K.K. Country
0x2154, Surfin' K.K.
0x2155, K.K. Ballad
0x2156, Comrade K.K.
0x2157, K.K. Lament
0x2158, Go K.K. Rider
0x2159, K.K. Dirge
0x215A, K.K. Western
0x215B, Mr. K.K.
0x215C, Café K.K.
0x215D, K.K. Parade
0x215E, Señor K.K.
0x215F, K.K. Song
0x2160, I Love You
0x2161, Two Days Ago
0x2162, My Place
0x2163, Forest Life
0x2164, To The Edge
0x2165, Pondering
0x2166, K.K. Dixie
0x2167, K.K. Marathon
0x2168, King K.K.
0x2169, Mountain Song
0x216A, Marine Song 2001
0x216B, Neapolitan
0x216C, Steep Hill
0x216D, K.K. Rockabilly
0x216E, Agent K.K.
0x216F, K.K. Rally
0x2170, K.K. Metal
0x2171, Stale Cupcakes
0x2172, Spring Blossoms
0x2173, Wandering
0x2174, K.K. House
0x2175, K.K. Sonata
0x2176, Hypno K.K.
0x2177, K.K. Stroll
0x2178, K.K. Island
0x2179, Space K.K.
0x217A, K.K. Adventure
0x217B, K.K. Oasis
0x217C, K.K. Bazaar
0x217D, K.K. Milonga
0x217E, K.K. Groove
0x217F, K.K. Jongara
0x2180, K.K. Flamenco
0x2181, K.K. Moody
0x2182, Bubblegum K.K.
0x2183, K.K. Synth
0x2184, K.K. Disco
0x2185, K.K. Birthday
//Songs (Wall Variants)
0x2189, K.K. Chorale (Wall)
0x218A, K.K. March (Wall)
0x218B, K.K. Waltz (Wall)
0x218C, K.K. Swing (Wall)
0x218D, K.K. Jazz (Wall)
0x218E, K.K. Fusion (Wall)
0x218F, K.K. Étude (Wall)
0x2190, K.K. Lullaby (Wall)
0x2191, K.K. Aria (Wall)
0x2192, K.K. Samba (Wall)
0x2193, K.K. Bossa (Wall)
0x2194, K.K. Calypso (Wall)
0x2195, K.K. Salsa (Wall)
0x2196, K.K. Mambo (Wall)
0x2197, K.K. Reggae (Wall)
0x2198, K.K. Ska (Wall)
0x2199, K.K. Tango (Wall)
0x219A, K.K. Faire (Wall)
0x219B, Aloha K.K. (Wall)
0x219C, Lucky K.K. (Wall)
0x219D, K.K. Condor (Wall)
0x219E, K.K. Steppe (Wall)
0x219F, Imperial K.K. (Wall)
0x21A0, K.K. Casbah (Wall)
0x21A1, K.K. Safari (Wall)
0x21A2, K.K. Folk (Wall)
0x21A3, K.K. Rock (Wall)
0x21A4, Rockin' K.K. (Wall)
0x21A5, K.K. Ragtime (Wall)
0x21A6, K.K. Gumbo (Wall)
0x21A7, The K. Funk (Wall)
0x21A8, K.K. Blues (Wall)
0x21A9, Soulful K.K. (Wall)
0x21AA, K.K. Soul (Wall)
0x21AB, K.K. Cruisin' (Wall)
0x21AC, K.K. Love Song (Wall)
0x21AD, K.K. D&B (Wall)
0x21AE, K.K. Technopop (Wall)
0x21AF, DJ K.K. (Wall)
0x21B0, Only Me (Wall)
0x21B1, K.K. Country (Wall)
0x21B2, Surfin' K.K. (Wall)
0x21B3, K.K. Ballad (Wall)
0x21B4, Comrade K.K. (Wall)
0x21B5, K.K. Lament (Wall)
0x21B6, Go K.K. Rider (Wall)
0x21B7, K.K. Dirge (Wall)
0x21B8, K.K. Western (Wall)
0x21B9, Mr. K.K. (Wall)
0x21BA, Café K.K. (Wall)
0x21BB, K.K. Parade (Wall)
0x21BC, Señor K.K. (Wall)
0x21BD, K.K. Song (Wall)
0x21BE, I Love You (Wall)
0x21BF, Two Days Ago (Wall)
0x21C0, My Place (Wall)
0x21C1, Forest Life (Wall)
0x21C2, To The Edge (Wall)
0x21C3, Pondering (Wall)
0x21C4, K.K. Dixie (Wall)
0x21C5, K.K. Marathon (Wall)
0x21C6, King K.K. (Wall)
0x21C7, Mountain Song (Wall)
0x21C8, Marine Song 2001 (Wall)
0x21C9, Neapolitan (Wall)
0x21CA, Steep Hill (Wall)
0x21CB, K.K. Rockabilly (Wall)
0x21CC, Agent K.K. (Wall)
0x21CD, K.K. Rally (Wall)
0x21CE, K.K. Metal (Wall)
0x21CF, Stale Cupcakes (Wall)
0x21D0, Spring Blossoms (Wall)
0x21D1, Wandering (Wall)
0x21D2, K.K. House (Wall)
0x21D3, K.K. Sonata (Wall)
0x21D4, Hypno K.K. (Wall)
0x21D5, K.K. Stroll (Wall)
0x21D6, K.K. Island (Wall)
0x21D7, Space K.K. (Wall)
0x21D8, K.K. Adventure (Wall)
0x21D9, K.K. Oasis (Wall)
0x21DA, K.K. Bazaar (Wall)
0x21DB, K.K. Milonga (Wall)
0x21DC, K.K. Groove (Wall)
0x21DD, K.K. Jongara (Wall)
0x21DE, K.K. Flamenco (Wall)
0x21DF, K.K. Moody (Wall)
0x21E0, Bubblegum K.K. (Wall)
0x21E1, K.K. Synth (Wall)
0x21E2, K.K. Disco (Wall)
0x21E3, K.K. Birthday (Wall)
//Songs (Music Boxes)
0x21E4, K.K. Chorale (Music Box)
0x21E5, K.K. March (Music Box)
0x21E6, K.K. Waltz (Music Box)
0x21E7, K.K. Swing (Music Box)
0x21E8, K.K. Jazz (Music Box)
0x21E9, K.K. Fusion (Music Box)
0x21EA, K.K. Étude (Music Box)
0x21EB, K.K. Lullaby (Music Box)
0x21EC, K.K. Aria (Music Box)
0x21ED, K.K. Samba (Music Box)
0x21EE, K.K. Bossa (Music Box)
0x21EF, K.K. Calypso (Music Box)
0x21F0, K.K. Salsa (Music Box)
0x21F1, K.K. Mambo (Music Box)
0x21F2, K.K. Reggae (Music Box)
0x21F3, K.K. Ska (Music Box)
0x21F4, K.K. Tango (Music Box)
0x21F5, K.K. Faire (Music Box)
0x21F6, Aloha K.K. (Music Box)
0x21F7, Lucky K.K. (Music Box)
0x21F8, K.K. Condor (Music Box)
0x21F9, K.K. Steppe (Music Box)
0x21FA, Imperial K.K. (Music Box)
0x21FB, K.K. Casbah (Music Box)
0x21FC, K.K. Safari (Music Box)
0x21FD, K.K. Folk (Music Box)
0x21FE, K.K. Rock (Music Box)
0x21FF, Rockin' K.K. (Music Box)
0x2200, K.K. Ragtime (Music Box)
0x2201, K.K. Gumbo (Music Box)
0x2202, The K. Funk (Music Box)
0x2203, K.K. Blues (Music Box)
0x2204, Soulful K.K. (Music Box)
0x2205, K.K. Soul (Music Box)
0x2206, K.K. Cruisin' (Music Box)
0x2207, K.K. Love Song (Music Box)
0x2208, K.K. D&B (Music Box)
0x2209, K.K. Technopop (Music Box)
0x220A, DJ K.K. (Music Box)
0x220B, Only Me (Music Box)
0x220C, K.K. Country (Music Box)
0x220D, Surfin' K.K. (Music Box)
0x220E, K.K. Ballad (Music Box)
0x220F, Comrade K.K. (Music Box)
0x2210, K.K. Lament (Music Box)
0x2211, Go K.K. Rider (Music Box)
0x2212, K.K. Dirge (Music Box)
0x2213, K.K. Western (Music Box)
0x2214, Mr. K.K. (Music Box)
0x2215, Café K.K. (Music Box)
0x2216, K.K. Parade (Music Box)
0x2217, Señor K.K. (Music Box)
0x2218, K.K. Song (Music Box)
0x2219, I Love You (Music Box)
0x221A, Two Days Ago (Music Box)
0x221B, My Place (Music Box)
0x221C, Forest Life (Music Box)
0x221D, To The Edge (Music Box)
0x221E, Pondering (Music Box)
0x221F, K.K. Dixie (Music Box)
0x2220, K.K. Marathon (Music Box)
0x2221, King K.K. (Music Box)
0x2222, Mountain Song (Music Box)
0x2223, Marine Song 2001 (Music Box)
0x2224, Neapolitan (Music Box)
0x2225, Steep Hill (Music Box)
0x2226, K.K. Rockabilly (Music Box)
0x2227, Agent K.K. (Music Box)
0x2228, K.K. Rally (Music Box)
0x2229, K.K. Metal (Music Box)
0x222A, Stale Cupcakes (Music Box)
0x222B, Spring Blossoms (Music Box)
0x222C, Wandering (Music Box)
0x222D, K.K. House (Music Box)
0x222E, K.K. Sonata (Music Box)
0x222F, Hypno K.K. (Music Box)
0x2230, K.K. Stroll (Music Box)
0x2231, K.K. Island (Music Box)
0x2232, Space K.K. (Music Box)
0x2233, K.K. Adventure (Music Box)
0x2234, K.K. Oasis (Music Box)
0x2235, K.K. Bazaar (Music Box)
0x2236, K.K. Milonga (Music Box)
0x2237, K.K. Groove (Music Box)
0x2238, K.K. Jongara (Music Box)
0x2239, K.K. Flamenco (Music Box)
0x223A, K.K. Moody (Music Box)
0x223B, Bubblegum K.K. (Music Box)
0x223C, K.K. Synth (Music Box)
0x223D, K.K. Disco (Music Box)
0x223E, K.K. Birthday (Music Box)
//Paper
0x223F, Butterfly Paper
0x2240, Airmail Paper
0x2241, New Year's Cards
0x2242, Lacy Paper
0x2243, Cloudy Paper
0x2244, Petal Paper
0x2245, Snowy Paper
0x2246, Maple-Leaf Paper
0x2247, Lined Paper
0x2248, Notebook Paper
0x2249, Flowery Paper
0x224A, Polka-Dot Paper
0x224B, Weathered Paper
0x224C, Ribbon Paper
0x224D, Sparkly Paper
0x224E, Vine Paper
0x224F, Formal Paper
0x2250, Snowman Paper
0x2251, Card Paper
0x2252, Leopard Paper
0x2253, Cow Paper
0x2254, Camouflage Paper
0x2255, Hamburger Paper
0x2256, Piano Paper
0x2257, Nook Paper
0x2258, Birthday Card
0x2259, Four-Leaf Paper
