0x0000, Empty
0x006D, Money Rock (Type 4)
0x006E, Money Rock (Type 5)
0x006F, Flower Seed (Money Rock)
0x0070, Palm Tree Stump (Small)
0x0071, Palm Tree Stump (Medium)
0x0072, Palm Tree Stump (Large)
0x0073, Palm Tree Stump (Fully Grown)
0x0074, Cedar Tree Stump (Small)
0x0075, Cedar Tree Stump (Medium)
0x0076, Cedar Tree Stump (Large)
0x0077, Cedar Tree Stump (Fully Grown)
0x0078, Cedar Tree (Bells)
0x0079, Cedar Tree (Furniture)
0x007A, Cedar Tree (Bees)
0x007B, Golden Tree Stump (Small)
0x007C, Golden Tree Stump (Medium)
0x007D, Golden Tree Stump (Large)
0x007E, Golden Tree Stump (Fully Grown)
0x007F, Golden Tree w/ 100 Bells
0x0080, Golden Tree w/ Furniture
0x0081, Golden Tree w/ Bees
0x0082, Cedar Tree (Festive Lights)
0x0083, Crackable Rock (Type 1)
0x0084, Crackable Rock (Type 2)
0x0085, Crackable Rock (Type 3)
0x0086, Crackable Rock (Type 4)
0x0087, Crackable Rock (Type 5)
0x0088, Cracked Rock (Type 1)
0x0089, Cracked Rock (Type 2)
0x008A, Cracked Rock (Type 3)
0x008B, Cracked Rock (Type 4)
0x008C, Cracked Rock (Type 5)
0x008D, Reset Center Hole (Type 1)
0x008E, Reset Center Hole (Type 2)
0x008F, Reset Center Hole (Type 3)
0x0090, Reset Center Hole (Type 4)
0x0091, Reset Center Hole (Type 5)
0x0092, Jacob's Ladder
0x0093, Sapling (No Hitbox)
0x0094, Small Tree (No Hitbox)
0x0095, Medium Tree (No Hitbox)
0x0096, Large Tree (No Hitbox)
0x0097, Fully Grown Tree (No Hitbox)
0x0098, Apple Tree Sapling (No Hitbox)
0x0099, Small Apple Tree (No Hitbox)
0x009A, Medium Apple Tree (No Hitbox)
0x009B, Large Apple Tree (No Hitbox)
0x009C, Fully Grown Apple Tree (No Hitbox) #1
0x009D, Fully Grown Apple Tree (No Hitbox) #2
0x009E, Fully Grown Apple Tree (No Hitbox) #3
0x009F, Apple Tree (No Hitbox)
0x00A0, Orange Tree Sapling (Doesn't grow)
0x00A1, Small Orange Tree (No Hitbox)
0x00A2, Medium Orange Tree (No Hitbox)
0x00A3, Large Orange Tree (No Hitbox)
0x00A4, Fully Grown Orange Tree (No Hitbox) #1
0x00A5, Fully Grown Orange Tree (No Hitbox) #2
0x00A6, Fully Grown Orange Tree (No Hitbox) #3
0x00A7, Orange Tree (No Hitbox)
0x00A8, Peach Tree Sapling (No Hitbox)
0x00A9, Small Peach Tree (No Hitbox)
0x00AA, Medium Peach Tree (No Hitbox)
0x00AB, Large Peach Tree (No Hitbox)
0x00AC, Fully Grown Peach Tree (No Hitbox) #1
0x00AD, Fully Grown Peach Tree (No Hitbox) #2
0x00AE, Fully Grown Peach Tree (No Hitbox) #3
0x00AF, Peach Tree (No Hitbox)
0x00B0, Pear Tree Sapling (No Hitbox)
0x00B1, Small Pear Tree (No Hitbox)
0x00B2, Medium Pear Tree (No Hitbox)
0x00B3, Large Pear Tree (No Hitbox)
0x00B4, Fully Grown Pear Tree (No Hitbox) #1
0x00B5, Fully Grown Pear Tree (No Hitbox) #2
0x00B6, Fully Grown Pear Tree (No Hitbox) #3
0x00B7, Pear Tree (No Hitbox)
0x00B8, Cherry Tree Sapling (No Hitbox)
0x00B9, Small Cherry Tree (No Hitbox)
0x00BA, Medium Cherry Tree (No Hitbox)
0x00BB, Large Cherry Tree (No Hitbox)
0x00BC, Fully Grown Cherry Tree (No Hitbox) #1
0x00BD, Fully Grown Cherry Tree (No Hitbox) #2
0x00BE, Fully Grown Cherry Tree (No Hitbox) #3
0x00BF, Cherry Tree (No Hitbox)
0x00C0, Money Tree Sapling (1,000 Bells) (No Hitbox)
0x00C1, Small Money Tree (1,000 Bells) (No Hitbox)
0x00C2, Medium Money Tree (1,000 Bells) (No Hitbox)
0x00C3, Large Money Tree (1,000 Bells) (No Hitbox)
0x00C4, Money Tree (1,000 Bells) (No Hitbox)
0x00C5, Money Tree Sapling (10,000 Bells) (No Hitbox)
0x00C6, Small Money Tree (10,000 Bells) (No Hitbox)
0x00C7, Medium Money Tree (10,000 Bells) (No Hitbox)
0x00C8, Large Money Tree (10,000 Bells) (No Hitbox)
0x00C9, Money Tree (10,000 Bells) (No Hitbox)
0x00CA, Money Tree Sapling (30,000 Bells) (No Hitbox)
0x00CB, Small Money Tree (30,000 Bells) (No Hitbox)
0x00CC, Medium Money Tree (30,000 Bells) (No Hitbox)
0x00CD, Large Money Tree (30,000 Bells) (No Hitbox)
0x00CE, Money Tree (30,000 Bells) (No Hitbox)
0x00CF, Flower Petals #1 (No Hitbox)
0x00D0, Flower Petals #2 (No Hitbox)
0x00D1, Flower Petals #3 (No Hitbox)
0x00D2, Flower Petals #4 (No Hitbox)
0x00D3, Flower Petals #5 (No Hitbox)
0x00D4, Flower Petals #6 (No Hitbox)
0x00D5, Flower Petals #7 (No Hitbox)
0x00D6, Flower Petals #8 (No Hitbox)
0x00D7, Flower Petals #9 (No Hitbox)
0x00D8, White Pansies (No Hitbox)
0x00D9, Purple Pansies (No Hitbox)
0x00DA, Yellow Pansies (No Hitbox)
0x00DB, Yellow Cosmos (No Hitbox)
0x00DC, Purple Cosmos (No Hitbox)
0x00DD, Blue Cosmos (No Hitbox)
0x00DE, Red Tulips (No Hitbox)
0x00DF, White Tulips (No Hitbox)
0x00E0, Yellow Tulips (No Hitbox)
0x00E1, Dead Sapling (No Hitbox)
0x00E2, Money Tree Sapling (100 Bells) (No Hitbox)
0x00E3, Small Money Tree (100 Bells) (No Hitbox)
0x00E4, Medium Money Tree (100 Bells) (No Hitbox)
0x00E5, Large Money Tree (100 Bells) (No Hitbox)
0x00E6, Money Tree (100 Bells) (No Hitbox)
0x00E7, Palm Tree Sapling (No Hitbox)
0x00E8, Small Palm Tree (No Hitbox)
0x00E9, Medium Palm Tree (No Hitbox)
0x00EA, Large Palm Tree (No Hitbox)
0x00EB, Fully Grown Palm Tree (No Hitbox) #1
0x00EC, Fully Grown Palm Tree (No Hitbox) #2
0x00ED, Fully Grown Palm Tree (No Hitbox) #3
0x00EE, Palm Tree (No Hitbox)
0x00EF, Dead Palm Tree Sapling (No Hitbox)
0x00F0, Cedar Sapling (No Hitbox)
0x00F1, Small Cedar Tree (No Hitbox)
0x00F2, Medium Cedar Tree (No Hitbox)
0x00F3, Large Cedar Tree (No Hitbox)
0x00F4, Cedar Tree (No Hitbox)
0x00F5, Dead Cedar Sapling (No Hitbox)
0x00F6, Golden Sapling (No Hitbox)
0x00F7, Small Golden Tree (No Hitbox)
0x00F8, Medium Golden Tree (No Hitbox)
0x00F9, Large Golden Tree (No Hitbox)
0x00FA, Fully Grown Golden Tree (No Hitbox) #1
0x00FB, Fully Grown Golden Tree (No Hitbox) #2
0x00FC, Dead Golden Sapling (No Hitbox)
0x00FD, Blue Fish #1
0x0200, Blue Fish #2
0x0300, Crucian Carp (Release Animation)
0x0400, Blue Fish #3
0x0500, Blue Fish #4
0x0600, Blue Fish #5
0x0700, Blue Fish #6
0x0800, Sapling
0x0801, Small Tree
0x0802, Medium Tree
0x0803, Large Tree
0x0804, Tree
0x0805, Apple Tree Sapling
0x0806, Small Apple Tree
0x0807, Medium Apple Tree
0x0808, Large Apple Tree
0x0809, Fully Grown Apple Tree (No Fruit) #1
0x080A, Fully Grown Apple Tree (No Fruit) #2
0x080B, Fully Grown Apple Tree (No Fruit) #3
0x080C, Apple Tree (Fruit)
0x080D, Orange Tree Sapling
0x080E, Small Orange Tree
0x080F, Medium Orange Tree
0x0810, Large Orange Tree
0x0811, Fully Grown Orange Tree (No Fruit) #1
0x0812, Fully Grown Orange Tree (No Fruit) #2
0x0813, Fully Grown Orange Tree (No Fruit) #3
0x0814, Orange Tree (Fruit)
0x0815, Peach Tree Sapling
0x0816, Small Peach Tree
0x0817, Medium Peach Tree
0x0818, Large Peach Tree
0x0819, Fully Grown Peach Tree (No Fruit) #1
0x081A, Fully Grown Peach Tree (No Fruit) #2
0x081B, Fully Grown Peach Tree (No Fruit) #3
0x081C, Peach Tree (Fruit)
0x081D, Pear Tree Sapling
0x081E, Small Pear Tree
0x081F, Medium Pear Tree
0x0820, Large Pear Tree
0x0821, Fully Grown Pear Tree (No Fruit) #1
0x0822, Fully Grown Pear Tree (No Fruit) #2
0x0823, Fully Grown Pear Tree (No Fruit) #3
0x0824, Pear Tree (Fruit)
0x0825, Cherry Tree Sapling
0x0826, Small Cherry Tree
0x0827, Medium Cherry Tree
0x0828, Large Cherry Tree
0x0829, Fully Grown Cherry Tree (No Fruit) #1
0x082A, Fully Grown Cherry Tree (No Fruit) #2
0x082B, Fully Grown Cherry Tree (No Fruit) #3
0x082C, Cherry Tree (Fruit)
0x082D, Money Tree Sapling (1,000 Bells)
0x082E, Small Money Tree (1,000 Bells)
0x082F, Medium Money Tree (1,000 Bells)
0x0830, Large Money Tree (1,000 Bells)
0x0831, Money Tree (1,000 Bells)
0x0832, Money Tree Sapling (10,000 Bells)
0x0833, Small Money Tree (10,000 Bells)
0x0834, Medium Money Tree (10,000 Bells)
0x0835, Large Money Tree (10,000 Bells)
0x0836, Money Tree (10,000 Bells)
0x0837, Money Tree Sapling (30,000 Bells)
0x0838, Small Money Tree (30,000 Bells)
0x0839, Medium Money Tree (30,000 Bells)
0x083A, Large Money Tree (30,000 Bells)
0x083B, Money Tree (30,000 Bells)
0x083C, Flower Petals #1
0x083D, Flower Petals #2
0x083E, Flower Petals #3
0x083F, Flower Petals #4
0x0840, Flower Petals #5
0x0841, Flower Petals #6
0x0842, Flower Petals #7
0x0843, Flower Petals #8
0x0844, Flower Petals #9
0x0845, White Pansies
0x0846, Purple Pansies
0x0847, Yellow Pansies
0x0848, Yellow Cosmos
0x0849, Purple Cosmos
0x084A, Blue Cosmos
0x084B, Red Tulips
0x084C, White Tulips
0x084D, Yellow Tulips
0x084E, Dead Sapling
0x084F, Money Tree Sapling (100 Bells)
0x0850, Small Money Tree (100 Bells)
0x0851, Medium Money Tree (100 Bells)
0x0852, Large Money Tree (100 Bells)
0x0853, Money Tree (100 Bells)
0x0854, Palm Tree Sapling
0x0855, Small Palm Tree
0x0856, Medium Palm Tree
0x0857, Large Palm Tree
0x0858, Fully Grown Palm Tree (No Fruit) #1
0x0859, Fully Grown Palm Tree (No Fruit) #2
0x085A, Fully Grown Palm Tree (No Fruit) #3
0x085B, Palm Tree (Fruit)
0x085C, Dead Palm Tree Sapling
0x085D, Cedar Sapling
0x085E, Small Cedar Tree
0x085F, Medium Cedar Tree
0x0860, Large Cedar Tree
0x0861, Cedar Tree
0x0862, Dead Cedar Sapling
0x0863, Golden Sapling
0x0864, Small Golden Tree
0x0865, Medium Golden Tree
0x0866, Large Golden Tree
0x0867, Golden Tree (Golden Shovel)
0x0868, Golden Tree
0x0869, Dead Golden Sapling
0x086A, Blue Fish #7
0x0900, Placed Signboard w/ Player 1's Pattern #1
0x0901, Placed Signboard w/ Player 1's Pattern #2
0x0902, Placed Signboard w/ Player 1's Pattern #3
0x0903, Placed Signboard w/ Player 1's Pattern #4
0x0904, Placed Signboard w/ Player 1's Pattern #5
0x0905, Placed Signboard w/ Player 1's Pattern #6
0x0906, Placed Signboard w/ Player 1's Pattern #7
0x0907, Placed Signboard w/ Player 1's Pattern #8
0x0908, Placed Signboard w/ Player 2's Pattern #1
0x0909, Placed Signboard w/ Player 2's Pattern #2
0x090A, Placed Signboard w/ Player 2's Pattern #3
0x090B, Placed Signboard w/ Player 2's Pattern #4
0x090C, Placed Signboard w/ Player 2's Pattern #5
0x090D, Placed Signboard w/ Player 2's Pattern #6
0x090E, Placed Signboard w/ Player 2's Pattern #7
0x090F, Placed Signboard w/ Player 2's Pattern #8
0x0910, Placed Signboard w/ Player 3's Pattern #1
0x0911, Placed Signboard w/ Player 3's Pattern #2
0x0912, Placed Signboard w/ Player 3's Pattern #3
0x0913, Placed Signboard w/ Player 3's Pattern #4
0x0914, Placed Signboard w/ Player 3's Pattern #5
0x0915, Placed Signboard w/ Player 3's Pattern #6
0x0916, Placed Signboard w/ Player 3's Pattern #7
0x0917, Placed Signboard w/ Player 3's Pattern #8
0x0918, Placed Signboard w/ Player 4's Pattern #1
0x0919, Placed Signboard w/ Player 4's Pattern #2
0x091A, Placed Signboard w/ Player 4's Pattern #3
0x091B, Placed Signboard w/ Player 4's Pattern #4
0x091C, Placed Signboard w/ Player 4's Pattern #5
0x091D, Placed Signboard w/ Player 4's Pattern #6
0x091E, Placed Signboard w/ Player 4's Pattern #7
0x091F, Placed Signboard w/ Player 4's Pattern #8
0x0920, Placed Signboard
0x0A00, Blue Fish #8
0x0B00, Blue Fish #9
0x0C00, Blue Fish #10
0x0D00, Common Butterfly (Release Animation)
0x0E00, Blue Fish #11 (Working Gift Bag in Inventory)
0x0F00, Blue Fish #12
0x1000, Spooky Wardrobe
0x1004, Classic Wardrobe
0x1008, Blue Wardrobe
0x100C, Office Locker
0x1010, Jingle Wardrobe
0x1014, Regal Armoire
0x1018, Cabana Wardrobe
0x101C, Cabin Wardrobe
0x1020, Lovely Armoire
0x1024, Green Wardrobe
0x1028, Pear Wardrobe
0x102C, Ranch Wardrobe
0x1030, Blue Cabinet
0x1034, Modern Wardrobe
0x1038, Exotic Wardrobe
0x103C, Jingle Dresser
0x1040, Regal Dresser
0x1044, Cabana Dresser
0x1048, Cabin Dresser
0x104C, Lovely Dresser
0x1050, Spooky Dresser
0x1054, Green Dresser
0x1058, Pear Dresser
0x105C, Ranch Dresser
0x1060, Classic Vanity
0x1064, Blue Bureau
0x1068, Modern Dresser
0x106C, Exotic Bureau
0x1070, Kiddie Dresser
0x1074, Kiddie Bureau
0x1078, Kiddie Wardrobe
0x107C, Dresser
0x1080, Tansu
0x1084, Sewing Box
0x1088, Fan
0x108C, Paper Lantern
0x1090, Tea Table
0x1094, Shogi Board
0x1098, Screen
0x109C, Zabuton
0x10A0, Bus Stop
0x10A4, Froggy Chair
0x10A8, Lilly-pad Table
0x10AC, Refridgerator
0x10B0, Chest
0x10B4, Rack
0x10B8, Red Sofa
0x10BC, Red Armchair
0x10C0, Hibachi
0x10C4, Stove
0x10C8, Cream Sofa
0x10CC, Tea Tansu
0x10D0, Pink Kotatsu
0x10D4, Blue Kotatsu
0x10D8, Folk Guitar
0x10DC, Country Guitar
0x10E0, Rock Guitar
0x10E4, Hinaningyo
0x10E8, Papa Bear
0x10EC, Mama Bear
0x10F0, Baby Bear
0x10F4, Classic Hutch
0x10F8, Classic Chair
0x10FC, Classic Desk
0x1100, Classic Table
0x1104, Classic Cabinet
0x1108, Rocking Chair
0x110C, Regal Cupboard
0x1110, Writing Desk
0x1114, Keiko Figurine
0x1118, Yuki Figurine
0x111C, Yoko Figurine
0x1120, Emi Figurine
0x1124, Maki Figurine
0x1128, Naomi Figurine
0x112C, Globe
0x1130, Regal Chair
0x1134, Regal Table
0x1138, Retro TV
0x113C, Eagle Pole
0x1140, Raven Pole
0x1144, Bear Pole
0x1148, Frog Woman Pole
0x114C, Taiko Drum
0x1150, Space Heater
0x1154, Retro Stereo
0x1158, Cabana Armchair
0x115C, Classic Sofa
0x1160, Lovely End Table
0x1164, Lovely Armchair
0x1168, Ivory Piano
0x116C, Lovely Lamp
0x1170, Lovely Kitchen
0x1174, Lovely Chair
0x1178, Lovely Bed
0x117C, Classic Clock
0x1180, Cabana Bed
0x1184, Green Golf Bag
0x1188, White Golf Bag
0x118C, Blue Golf Bag
0x1190, Regal Bookcase
0x1194, Writing Chair
0x1198, Ranch Couch
0x119C, Ranch Armchair
0x11A0, Ranch Tea Table
0x11A4, Ranch Hutch
0x11A8, Ranch Bookcase
0x11AC, Ranch Chair
0x11B0, Ranch Bed
0x11B4, Ranch Table
0x11B8, Computer
0x11BC, Office Desk
0x11C0, Master Sword
0x11C4, N Logo
0x11C8, Vibraphone
0x11CC, Biwa Lute
0x11D0, Conga Drum
0x11D4, Extinguisher
0x11D8, Ruby Econo-chair
0x11DC, Gold Econo-chair
0x11E0, Jade Econo-chair
0x11E4, Gold Stereo
0x11E8, Folding Chair
0x11EC, Lovely Vanity
0x11F0, Birdcage
0x11F4, Timpano Drum
0x11F8, Nice Speaker
0x11FC, Birthday Cake
0x1200, School Desk
0x1204, Graffiti Desk
0x1208, Towel Desk
0x120C, Tall Cactus
0x1210, Round Cactus
0x1214, Classic Bed
0x1218, Wide-screen TV
0x121C, Lovely Table
0x1220, Kadomatsu
0x1224, Kagamimochi
0x1228, Low Lantern
0x122C, Tall Lantern
0x1230, Pond Lantern
0x1234, Office Chair
0x1238, Cubby Hole
0x123C, Letter Cubby
0x1240, Heavy Chair
0x1244, School Chair
0x1248, Towel Chair
0x124C, Science Table
0x1250, Stepstool
0x1254, Shrine Lantern
0x1258, Barrel
0x125C, Keg
0x1260, Vaulting Horse
0x1264, Glass-top Table
0x1268, Alarm Clock
0x126C, Tulip Table
0x1270, Daffodil Table
0x1274, Iris Table
0x1278, Blue Vase
0x127C, Tulip Chair
0x1280, Daffodil Chair
0x1284, Iris Chair
0x1288, Elephant Slide
0x128C, Toilet
0x1290, Super Toilet
0x1294, Pine Table
0x1298, Pine Chair
0x129C, Tea Vase
0x12A0, Red Vase
0x12A4, Sewing Machine
0x12A8, Billiard Table
0x12AC, Famous Painting
0x12B0, Basic Painting
0x12B4, Scarying Painting
0x12B8, Moving Painting
0x12BC, Flowery Painting
0x12C0, Common Painting
0x12C4, Quaint Painting
0x12C8, Dainty Painting
0x12CC, Amazing Painting
0x12D0, Strange Painting
0x12D4, Rare Painting
0x12D8, Classic Painting
0x12DC, Perfect Painting
0x12E0, Fine Painting
0x12E4, Worthy Painting
0x12E8, Pineapple Bed
0x12EC, Orange Chair
0x12F0, Unused Dresser
0x12F4, Lemon Table
0x12F8, Apple TV
0x12FC, Table Tennis
0x1300, Harp
0x1304, Cabin Clock
0x1308, Train Set
0x130C, Water Bird
0x1310, Wobbelina
0x1314, Unused Monkey
0x1318, Slot Machine
0x131C, Exotic Bench
0x1320, Exotic Chair
0x1324, Exotic Chest
0x1328, Exotic Lamp
0x132C, Caladium
0x1330, Lady Palm
0x1334, Exotic Screen
0x1338, Exotic Table
0x133C, Djimbe Drum
0x1340, Modern Bed
0x1344, Modern Den Chair
0x1348, Modern Cabinet
0x134C, Modern Desk
0x1350, Modern Sofa
0x1354, Modern Table
0x1358, Blue Bed
0x135C, Blue Bench
0x1360, Blue Chair
0x1364, Blue Dresser
0x1368, Blue Bookcase
0x136C, Blue Table
0x1370, Green Bed
0x1374, Green Bench
0x1378, Green Chair
0x137C, Green Pantry
0x1380, Green Counter
0x1384, Green Lamp
0x1388, Green Table
0x138C, Cabin Bed
0x1390, Cabin Couch
0x1394, Cabin Armchair
0x1398, Cabin Bookcase
0x139C, Cabin Low Table
0x13A0, Aloe
0x13A4, Bromeliaceae
0x13A8, Coconut Palm
0x13AC, Snake Plant
0x13B0, Dracaena
0x13B4, Rubber Tree
0x13B8, Pothos
0x13BC, Fan Palm
0x13C0, Grapefruit Table
0x13C4, Lime Chair
0x13C8, Weeping Fig
0x13CC, Corn Plant
0x13D0, Croton
0x13D4, Pachira
0x13D8, Cactus
0x13DC, Metronome
0x13E0, Deer Scare
0x13E4, Pine Bonsai
0x13E8, Mugho Bonsai
0x13EC, Barber's Pole
0x13F0, Ponderosa Bonsai
0x13F4, Plum Bonsai
0x13F8, Giant Dharma
0x13FC, Dharma
0x1400, Mini-Dharma
0x1404, Quince Bonsai
0x1408, Azalea Bonsai
0x140C, Jasmine Bonsai
0x1410, Executive Toy
0x1414, Traffic Cone
0x1418, Striped Cone
0x141C, Orange Cone
0x1420, Cola Machine
0x1424, Maple Bonsai
0x1428, Hawthorne Bonsai
0x142C, Holly Bonsai
0x1430, Barricade
0x1434, Fence
0x1438, Plastic Fence
0x143C, Fence and Sign
0x1440, Soda Machine
0x1444, Manhole Cover
0x1448, Pop Machine
0x144C, Brown Drum
0x1450, Green Drum
0x1454, Red Drum
0x1458, Juice Machine
0x145C, Iron Frame
0x1460, Trash Can
0x1464, Grabage Pail
0x1468, Watermelon Chair
0x146C, Melon Chair
0x1470, Watermelon Table
0x1474, Robotic Flagman
0x1478, Garbage Can
0x147C, Trash Bin
0x1480, Violin
0x1484, Bass
0x1488, Cello
0x148C, Ebony Piano
0x1490, Zen Basin
0x1494, Handcart
0x1498, Wash Basin
0x149C, Jack-o'-Lantern
0x14A0, Warning Sign
0x14A4, Detour Arrow
0x14A8, Garden Stone
0x14AC, Standing Stone
0x14B0, Route Sign
0x14B4, Men Working Sign
0x14B8, Caution Sign
0x14BC, Temple Basin
0x14C0, Spooky Bed
0x14C4, Jack-in-the-Box
0x14C8, Spooky Chair
0x14CC, Unused Chair
0x14D0, Spooky Bookcase
0x14D4, Spooky Sofa
0x14D8, Spooky Table
0x14DC, Lunar Lander
0x14E0, Satellite
0x14E4, Mossy Stone
0x14E8, Leaning Stone
0x14EC, Dark Stone
0x14F0, Flying Saucer
0x14F4, Stone Couple
0x14F8, Garden Pond
0x14FC, Rocket
0x1500, Spaceman Sam
0x1504, Spooky Clock
0x1508, Spooky Lamp
0x150C, Exotic Bed
0x1510, Exotic End Table
0x1514, Asteroid
0x1518, Cabana Lamp
0x151C, Cabana Table
0x1520, Bucket
0x1524, Scale
0x1528, Faucet
0x152C, Spa Chair
0x1530, Cabana Screen
0x1534, Cabana Vanity
0x1538, Cabana Chair
0x153C, Cabana Bookcase
0x1540, Arwing
0x1544, Lunar Rover
0x1548, Massage Chair
0x154C, Bath Mat
0x1550, Spa Tub
0x1554, Blue Clock
0x1558, Mochi Pestle
0x155C, Spooky Vanity
0x1560, Green Desk
0x1564, Clerk's Booth
0x1568, Modern Chair
0x156C, Modern End Table
0x1570, Space Station
0x1574, Spa Screen
0x1578, Cabin Chair
0x157C, Regal Bed
0x1580, Space Shuttle
0x1584, Regal Vanity
0x1588, Regal Sofa
0x158C, Regal Lamp
0x1590, Cabin Table
0x1594, Bath Locker
0x1598, Milk Fridge
0x159C, Tea Set
0x15A0, Nook's Portrait
0x15A4, Gerbera
0x15A8, Sunflower
0x15AC, Daffodil
0x15B0, Tall Gongoid
0x15B4, Mega Gongoid
0x15B8, Mini Gongoid
0x15BC, Gongoid
0x15C0, Mini Oombloid
0x15C4, Oombloid
0x15C8, Mega Oombloid
0x15CC, Tall Oombloid
0x15D0, Mega Echoid
0x15D4, Mini Echoid
0x15D8, Tall Echoid
0x15DC, Mini Sputnoid
0x15E0, Sputnoid
0x15E4, Mega Sputnoid
0x15E8, Tall Sputnoid
0x15EC, Mini Dinkoid
0x15F0, Mini Fizzoid
0x15F4, Mega Fizzoid
0x15F8, Mega Dinkoid
0x15FC, Mini Gargloid
0x1600, Gargloid
0x1604, Tall Gargloid
0x1608, Mega Buzzoid
0x160C, Tall Buzzoid
0x1610, Buzzoid
0x1614, Mini Buzzoid
0x1618, Sproid
0x161C, Mini Sproid
0x1620, Mega Sproid
0x1624, Tall Sproid
0x1628, Tootoid
0x162C, Mini Tootoid
0x1630, Mega Tootoid
0x1634, Tall Droploid
0x1638, Mega Bovoid
0x163C, Tall Bovoid
