//Flowers
0x009E, Red Tulips
0x0017, Bee Tree
0x0018, Bell Tree
0x0019, Apple Tree Size 1
0x001A, Apple Tree Size 2
0x001B, Apple Tree Size 3
0x001C, Apple Tree Size 4
0x001D, Apple Tree (no Fruit)
0x001E, Apple Tree (no Fruit)
0x001F, Apple Tree (no Fruit)
0x0020, Apple Tree
0x0021, Orange Tree Size 1
0x0022, Orange Tree Size 2
0x0023, Orange Tree Size 3
0x0024, Orange Tree Size 4
0x0025, Orange Tree (no Fruit)
0x0026, Orange Tree (no Fruit)
0x0027, Orange Tree (no Fruit)
0x0028, Orange Tree
0x0029, Pear Tree Size 1
0x002A, Pear Tree Size 2
0x002B, Pear Tree Size 3
0x002C, Pear Tree Size 4
0x002D, Pear Tree (no Fruit)
0x002E, Pear Tree (no Fruit)
0x002F, Pear Tree (no Fruit)
0x0030, Pear Tree
0x0031, Peach Tree Size 1
0x0032, Peach Tree Size 2
0x0033, Peach Tree Size 3
0x0034, Peach Tree Size 4
0x0035, Peach Tree (no Fruit)
0x0036, Peach Tree (no Fruit)
0x0037, Peach Tree (no Fruit)
0x0038, Peach Tree
0x0039, Cherry Tree Size 1
0x003A, Cherry Tree Size 2
0x003B, Cherry Tree Size 3
0x003C, Cherry Tree Size 4
0x003D, Cherry Tree (no Fruit)
0x003E, Cherry Tree (no Fruit)
0x003F, Cherry Tree (no Fruit)
0x0040, Cherry Tree
0x0041, Palm Tree Size 1
0x0042, Palm Tree Size 2
0x0043, Palm Tree Size 3
0x0044, Palm Tree Size 4
0x0045, Palm Tree (no Fruit)
0x0046, Palm Tree (no Fruit)
0x0047, Palm Tree (no Fruit)
0x0048, Palm Tree
0x0049, Money Tree Size 1
0x004A, Money Tree Size 2
0x004B, Money Tree Size 3
0x004C, Money Tree Size 4
0x004D, Money Tree
0x004E, Pine Tree Size 1
0x004F, Pine Tree Size 2
0x0050, Pine Tree Size 3
0x0051, Pine Tree Size 4
0x0052, Pine Tree Size 5
0x0053, Furniture Pine
0x0054, Bee Pine
0x0055, Bell Pine
0x0056, Festive Pine
//Turnips
0x0095, Dead Turnip
0x0096, Growing Turnip
0x0097, Growing Turnip
0x0098, Growing Turnip
0x0099, Growing Turnip
0x009A, Growing Turnip
0x009B, Growing Turnip
0x009C, Growing Turnip
0x009D, Dead Turnip
//Weeds
0x0057, Weed
0x0058, Weed
0x0059, Weed
0x005A, Weed
0x00DE, Dandilion
0x00DF, Dandilion Puff
0x00E0, Dried Clover
0x00E1, Dried Clover (lucky)
//Bells
0x9194, 100 Bells
0x9198, 200 Bells
0x919C, 300 Bells
0x91A0, 400 Bells
0x91A4, 500 Bells
0x91A8, 600 Bells
0x91AC, 700 Bells
0x91B0, 800 Bells
0x91B4, 900 Bells
0x91B8, 1,000 Bells
0x91BC, 2,000 Bells
0x91C0, 3,000 Bells
0x91C4, 4,000 Bells
0x91C8, 5,000 Bells
0x91CC, 6,000 Bells
0x91D0, 7,000 Bells
0x91D4, 8,000 Bells
0x91D8, 9,000 Bells
0x91DC, 10,000 Bells
0x91E0, 11,000 Bells
0x91E4, 12,000 Bells
0x91E8, 13,000 Bells
0x91EC, 14,000 Bells
0x91F0, 15,000 Bells
0x91F4, 16,000 Bells
0x91F8, 17,000 Bells
0x91FC, 18,000 Bells
0x9200, 19,000 Bells
0x9204, 20,000 Bells
0x9208, 21,000 Bells
0x920C, 22,000 Bells
0x9210, 23,000 Bells
0x9214, 24,000 Bells
0x9218, 25,000 Bells
0x921C, 26,000 Bells
0x9220, 27,000 Bells
0x9224, 28,000 Bells
0x9228, 29,000 Bells
0x922C, 30,000 Bells
0x9230, 31,000 Bells
0x9234, 32,000 Bells
0x9238, 33,000 Bells
0x923C, 34,000 Bells
0x9240, 35,000 Bells
0x9244, 36,000 Bells
0x9248, 37,000 Bells
0x924C, 38,000 Bells
0x9250, 39,000 Bells
0x9254, 40,000 Bells
0x9258, 41,000 Bells
0x925C, 42,000 Bells
0x9260, 43,000 Bells
0x9264, 44,000 Bells
0x9268, 45,000 Bells
0x926C, 46,000 Bells
0x9270, 47,000 Bells
0x9274, 48,000 Bells
0x9278, 49,000 Bells
0x927C, 50,000 Bells
0x9280, 51,000 Bells
0x9284, 52,000 Bells
0x9288, 53,000 Bells
0x928C, 54,000 Bells
0x9290, 55,000 Bells
0x9294, 56,000 Bells
0x9298, 57,000 Bells
0x929C, 58,000 Bells
0x92A0, 59,000 Bells
0x92A4, 60,000 Bells
0x92A8, 61,000 Bells
0x92AC, 62,000 Bells
0x92B0, 63,000 Bells
0x92B4, 64,000 Bells
0x92B8, 65,000 Bells
0x92BC, 66,000 Bells
0x92C0, 67,000 Bells
0x92C4, 68,000 Bells
0x92C8, 69,000 Bells
0x92CC, 70,000 Bells
0x92D0, 71,000 Bells
0x92D4, 72,000 Bells
0x92D8, 73,000 Bells
0x92DC, 74,000 Bells
0x92E0, 75,000 Bells
0x92E4, 76,000 Bells
0x92E8, 77,000 Bells
0x92EC, 78,000 Bells
0x92F0, 79,000 Bells
0x92F4, 80,000 Bells
0x92F8, 81,000 Bells
0x92FC, 82,000 Bells
0x9300, 83,000 Bells
0x9304, 84,000 Bells
0x9308, 85,000 Bells
0x930C, 86,000 Bells
0x9310, 87,000 Bells
0x9314, 88,000 Bells
0x9318, 89,000 Bells
0x931C, 90,000 Bells
0x9320, 91,000 Bells
0x9324, 92,000 Bells
0x9328, 93,000 Bells
0x932C, 94,000 Bells
0x9330, 95,000 Bells
0x9334, 96,000 Bells
0x9338, 97,000 Bells
0x933C, 98,000 Bells
0x9340, 99,000 Bells
//Equipment
0xCE80, Axe
0xCE84, Axe
0xCE88, Axe
0xCE8C, Axe
0xCE90, Axe
0xCE94, Axe
0xCE98, Axe
0xCE9C, Axe
0xCEA0, Net
0xCEA4, Fishing Rod
0xCEA8, Timer
0xCEAC, Watering Can
0xCEB0, Shovel
0xCEB4, Sparkler
0xCEB8, Roman Candle
0xCEBC, Party Popper
0xCEC0, Golden Axe
0xCEC4, Golden Net
0xCEC8, Golden Rod
0xCECC, Golden Can
0xCED0, Golden Shovel
0xCED4, Silver Axe
0xCED8, Silver Net
0xCEDC, Silver Rod
0xCEE0, Silver Can
0xCEE4, Silver Shovel
0xCEE8, Bubble Wand
0xCEEC, Slingshot
0xCEF0, Silver Slingshot
0xCEF4, Golden Slingshot
0xCEF8, Bunny R. Balloon
0xCEFC, Bunny O. Balloon
0xCF00, Bunny Y. Balloon
0xCF04, Bunny G. Balloon
0xCF08, Bunny C. Balloon
0xCF0C, Bunny B. Balloon
0xCF10, Bunny I. Balloon
0xCF14, Bunny P. Balloon
0xCF18, Red Balloon
0xCF1C, Orange Balloon
0xCF20, Yellow Balloon
0xCF24, Green Balloon
0xCF28, Cyan Balloon
0xCF2C, Blue Balloon
0xCF30, Indigo Balloon
0xCF34, Pink Balloon
0xCF38, Red Pinwheel
0xCF3C, Orange Pinwheel
0xCF40, Yellow Pinwheel
0xCF44, Green Pinwheel
0xCF48, Cyan Pinwheel
0xCF4C, Blue Pinwheel
0xCF50, Indigo Pinwheel
0xCF54, Pink Pinwheel
//Fish
0x9AF0, Bitterling
0x9AF4, Pale Chub
0x9AF8, Crucian Carp
0x9AFC, Dace
0x9B00, Barbel Steed
0x9B04, Carp
0x9B08, Koi
0x9B0C, Goldfish
0x9B10, Popeyed Goldfish
0x9B14, Killifish
0x9B18, Crawfish
0x9B1C, Frog
0x9B20, Freshwater Goby
0x9B24, Loach
0x9B28, Catfish
0x9B2C, Eel
0x9B30, Giant Snakehead
0x9B34, Bluegill
0x9B38, Yellow Perch
0x9B3C, Black Bass
0x9B40, Pike
0x9B44, Pond Smelt
0x9B48, Sweetfish
0x9B4C, Cherry Salmon
0x9B50, Char
0x9B54, Rainbow Trout
0x9B58, Stringfish
0x9B5C, Salmon
0x9B60, King Salmon
0x9B64, Guppy
0x9B68, Angelfish
0x9B6C, Neon Tetra
0x9B70, Piranha
0x9B74, Arowana
0x9B78, Dorado
0x9B7C, Gar
0x9B80, Arapaima
0x9B84, Sea Butterfly
0x9B88, Jellyfish
0x9B8C, Sea Horse
0x9B90, Clownfish
0x9B94, Surgeonfish
0x9B98, Butterflyfish
0x9B9C, Napoleonfish
0x9BA0, Zebra Turkeyfish
0x9BA4, Puffer Fish
0x9BA8, Horse Mackerel
0x9BAC, Barred Knifejaw
0x9BB0, Sea Bass
0x9BB4, Red Snapper
0x9BB8, Dab
0x9BBC, Olive Flounder
0x9BC0, Squid
0x9BC4, Octopus
0x9BC8, Lobster
0x9BCC, Moray Eel
0x9BD0, Football Fish
0x9BD4, Tuna
0x9BD8, Blue Marlin
0x9BDC, Ray
0x9BE0, Ocean Sunfish
0x9BE4, Hammerhead Shark
0x9BE8, Shark
0x9BEC, Coelacanth
//Flooring
0xA2C0, Exotic Rug
0xA2C4, Lovely Carpet
0xA2C8, Classic Carpet
0xA2CC, Ranch Flooring
0xA2D0, Cabana Flooring
0xA2D4, Blue Flooring
0xA2D8, Modern Tile
0xA2DC, Regal Carpet
0xA2E0, Green Rug
0xA2E4, Cabin Rug
0xA2E8, Kiddie Carpet
0xA2EC, Robo-floor
0xA2F0, Snowman Carpet
0xA2F4, Forest Floor
0xA2F8, Pavé Floor
0xA2FC, Egg Floor
0xA300, Spooky Carpet
0xA304, Harvest Rug
0xA308, Jingle Carpet
0xA30C, Princess Carpet
0xA310, Gracie Carpet
0xA314, Sweets Floor
0xA318, Gorgeous Floor
0xA31C, Western Desert
0xA320, Lunar Surface
0xA324, Closed Road
0xA328, Boxing Ring Mat
0xA32C, Backyard Lawn
0xA330, Playroom Rug
0xA334, Ship Deck
0xA338, Lab Floor
0xA33C, Classroom Floor
0xA340, Bath Tile
0xA344, Pastel-dot Rug
0xA348, Checkered Tile
0xA34C, Ceramic Tile
0xA350, Diner Tile
0xA354, Kitschy Tile
0xA358, Red Tile
0xA35C, Mosaic Tile
0xA360, Chessboard Rug
0xA364, Plaza Tile
0xA368, Palace Tile
0xA36C, Imperial Tile
0xA370, Kitchen Tile
0xA374, Stone Tile
0xA378, Charcoal Tile
0xA37C, Tatami
0xA380, Planked Tatami
0xA384, Mossy Carpet
0xA388, Sand Garden
0xA38C, Slate Flooring
0xA390, Concrete Floor
0xA394, Basement Floor
0xA398, Parquet Floor
0xA39C, Old Board Floor
0xA3A0, Kitchen Flooring
0xA3A4, Music-room Floor
0xA3A8, Office Flooring
0xA3AC, Opulent Rug
0xA3B0, Plush Carpet
0xA3B4, Ornate Rug
0xA3B8, Fancy Carpet
0xA3BC, Exquisite Rug
0xA3C0, Persian Rug
0xA3C4, Tartan Rug
0xA3C8, Round Carpet
0xA3CC, Citrus Carpet
0xA3D0, Cowhide Rug
0xA3D4, Birch Flooring
0xA3D8, Plank Flooring
0xA3DC, Bamboo Flooring
0xA3E0, Steel Flooring
0xA3E4, Shanty Mat
0xA3E8, Ancient Tile
0xA3EC, Illusion Floor
0xA3F0, Daisy Meadow
0xA3F4, Tropical Floor
0xA3F8, Saharah's Desert
0xA3FC, Sandlot
0xA400, Sidewalk
0xA404, Cloud Flooring
0xA408, Common Floor
0xA40C, Old Flooring
0xA410, Block Floor
0xA414, Cranny Floor
0xA418, Convenient Floor
0xA41C, Market Floor
0xA420, Department Floor
//Flowers
0xB260, Red Tulips
0xB264, White Tulips
0xB268, Yellow Tulips
0xB26C, Pink Tulips
0xB270, Purple Tulips
0xB274, Black Tulips
0xB278, White Pansies
0xB27C, Yellow Pansies
0xB280, Red Pansies
0xB284, Purple Pansies
0xB288, Orange Pansies
0xB28C, Blue Pansies
0xB290, White Cosmos
0xB294, Red Cosmos
0xB298, Yellow Cosmos
0xB29C, Pink Cosmos
0xB2A0, Orange Cosmos
0xB2A4, Black Cosmos
0xB2A8, Red Roses
0xB2AC, White Roses
0xB2B0, Yellow Roses
0xB2B4, Pink Roses
0xB2B8, Orange Roses
0xB2BC, Purple Roses
0xB2C0, Black Roses
0xB2C4, Blue Roses
0xB2C8, Gold Roses
0xB2CC, Red Carnation
0xB2D0, Pink Carnation
0xB2D4, White Carnation
0xB2D8, Jacob's Ladder
0xB2DC, Lucky Clover
0xB2E0, Dandelions
0xB2E4, Dandelion Puffs
//Flowerbags
0x9040, Red Tulip Bag
0x9044, White Tulip Bag
0x9048, Yellow Tulip Bag
0x904C, Not Used
0x9050, Not Used
0x9054, Not Used
0x9058, White Pansy Bag
0x905C, Yellow Pansy Bag
0x9060, Red Pansy Bag
0x9064, Not Used
0x9068, Not Used
0x906C, Not Used
0x9070, White Cosmos Bag
0x9074, Red Cosmos Bag
0x9078, Sun Cosmos Bag
0x907C, Not Used
0x9080, Not Used
0x9084, Not Used
0x9088, Red Rose Bag
0x908C, White Rose Bag
0x9090, Yellow Rose Bag
0x9094, Not Used
0x9098, Not Used
0x909C, Not Used
0x90A0, Not Used
0x90A4, Not Used
0x90A8, Red Carn. Bag
0x90AC, Pink Carn. Bag
0x90B0, White Carn. Bag
//Fruits
0x9000, Apple
0x9004, Orange
0x9008, Pear
0x900C, Peach
0x9010, Cherry
0x9014, Coconut
0x9018, Fossil
0x901C, Sapling
0x9020, Cedar Sapling
0x9024, Pitfall Seed
0x9028, Medicine
0x902C, Present
0x9030, Letter
0x9034, Paper Bag
0x9038, Note In A Bottle
0x90C8, Red Paint
0x90CC, Blue Paint
0x90D0, Yellow Paint
0x90D4, Green Paint
0x90D8, Pink Paint
0x90DC, Orange Paint
0x90E0, Light Blue Paint
0x90E4, Pea Green Paint
0x90E8, Purple Paint
0x90EC, Brown Paint
0x90F0, White Paint
0x90F4, Black Paint
0x9104, Sold-out Sign
0x9108, Sold-out Sign
0x9140, Knife And Fork
0x9144, Blue Candy
0x9148, Red Candy
0x914C, Yellow Candy
0x9150, Green Candy
0x9154, Chocolate Heart
0x9158, Red Turnip Seed
0x915C, Empty Lamp
0x9160, Magic Lamp
0x9164, Spaceship Part
0x9348, Key
0x934C, Key
0x9350, Key
0x9354, Key
0x9358, Key
0x935C, Key
0x9360, Key
0x9364, Key
0x9370, Bunny Egg
0x9374, Bunny Egg
0x9378, Bunny Egg
0x937C, Bunny Egg
0x9380, Bunny Egg
0x9384, Bunny Egg
0x9388, Bunny Egg
0x938C, Bunny Egg
0x9390, Bunny Egg
0x9394, Bunny Egg
0x9398, Bunny Egg
0x939C, Bunny Egg
0x93A0, Bunny Egg
0x93A4, Bunny Foil
0x93A8, Bunny Foil
0x93AC, Bunny Foil
0x93B0, Bunny Foil
0x93B4, Bunny Foil
0x93B8, Bunny Foil
0x93BC, Bunny Foil
0x93C0, Bunny Foil
0x93C4, Bunny Foil
0x93C8, Bunny Foil
0x93CC, Bunny Foil
0x93D0, Bunny Foil
0x93D4, Shopping Card
0x93D8, Gold Card
0x97D0, 10 Turnips
0x97D4, 20 Turnips
0x97D8, 30 Turnips
0x97DC, 40 Turnips
0x97E0, 50 Turnips
0x97E4, 60 Turnips
0x97E8, 70 Turnips
0x97EC, 80 Turnips
0x97F0, 90 Turnips
0x97F4, 100 Turnips
0x97F8, Spoiled Turnips
0x97FC, Red Turnip
0x9800, Red Turnip
0x9804, Red Turnip
0x9808, Red Turnip
0x980C, Red Turnip
0x9810, Red Turnip
0x9814, Red Turnip
0x9BF0, Empty Can
0x9BF4, Boot
0x9BF8, Old Tire
//Glasses
0xAF40, Blue Frames
0xAF44, Red Glasses
0xAF48, Yellow Glasses
0xAF4C, Mint Glasses
0xAF50, Purple Glasses
0xAF54, Green Glasses
0xAF58, Brown Glasses
0xAF5C, Pink Glasses
0xAF60, Thick Glasses
0xAF64, Silver Frames
0xAF68, Rimmed Glasses
0xAF6C, Funky Glasses
0xAF70, Tortoise Specs
0xAF74, Gracie Glasses
0xAF78, Pilot Shades
0xAF7C, Sporty Shades
0xAF80, Huge Shades
0xAF84, Triangle Shades
0xAF88, Tiny Shades
0xAF8C, Heart Shades
0xAF90, Star Shades
0xAF94, 3-D Glasses
0xAF98, Masquerade Mask
0xAF9C, Superhero Mask
0xAFA0, Goggles
0xAFA4, Snorkel Mask
0xAFA8, Eye Mask
0xAFAC, HMD
0xAFB0, Monocle
0xAFB4, Doctor's Mirror
0xAFB8, Eye Patch
0xAFBC, Post-op Patch
0xAFC0, Gas Mask
0xAFC4, Hockey Mask
0xAFC8, Clown Mask
0xAFCC, Red Nose
0xAFD0, Stache & Glasses
0xAFD4, Big Bro Mustache
0xAFD8, Bad Bro Stache
0xAFDC, Curly Mustache
0xAFE0, King's Beard
0xAFE4, Doctor's Mask
0xAFE8, Pacifier
0xAFEC, Beak
0xAFF0, Lemon Pack
0xAFF4, Cucumber Pack
0xAFF8, Bandage
//Hats
0xAC20, White Cap
0xAC24, Red Cap
0xAC28, Yellow Cap
0xAC2C, Light Blue Cap
0xAC30, Green Cap
0xAC34, Star Cap
0xAC38, 1-Up Cap
0xAC3C, Purple Cap
0xAC40, Blue Cap
0xAC44, Blue Pom-pom Hat
0xAC48, Green Knit Hat
0xAC4C, Orange Knit Hat
0xAC50, Pink Knit Hat
0xAC54, Purple Knit Hat
0xAC58, Red Pom-pom Hat
0xAC5C, Badge Hat
0xAC60, Straw Hat
0xAC64, Grandpa Hat
0xAC68, Paperboy Cap
0xAC6C, Beret
0xAC70, Dandy Hat
0xAC74, Hunter's Cap
0xAC78, Detective Hat
0xAC7C, Top Hat
0xAC80, Puffy Hat
0xAC84, Gracie Hat
0xAC88, Elegant Hat
0xAC8C, Bandana
0xAC90, Tulip Hat
0xAC94, Do-rag
0xAC98, Swimming Cap
0xAC9C, Wizard's Cap
0xACA0, Newsprint Helmet
0xACA4, Festive Hat
0xACA8, Big Bro's Hat
0xACAC, Li'l Bro's Hat
0xACB0, Wario Hat
0xACB4, Bicycle Helmet
0xACB8, Chef's Hat
0xACBC, Combat Helmet
0xACC0, Scholar's Hat
0xACC4, Safety Helmet
0xACC8, Police Cap
0xACCC, Explorer's Hat
0xACD0, Captain's Hat
0xACD4, Sailor's Hat
0xACD8, Silk Hat
0xACDC, Outback Hat
0xACE0, Dutch Hat
0xACE4, Sombrero
0xACE8, Tyrolean Hat
0xACEC, Viking Helmet
0xACF0, Cavalier Hat
0xACF4, Pirate's Hat
0xACF8, Jester's Cap
0xACFC, Witch's Hat
0xAD00, Melon Hat
0xAD04, Strawberry Hat
0xAD08, Kiwi Hat
0xAD0C, Mandarin Hat
0xAD10, Watermelon Hat
0xAD14, Grape Hat
0xAD18, Grape Hat
0xAD1C, Red Ribbon
0xAD20, Blue Ribbon
0xAD24, Yellow Ribbon
0xAD28, Heart Hairpin
0xAD2C, Star Hairpin
0xAD30, Moon Hairpin
0xAD34, Green Feather
0xAD38, Blue Feather
0xAD3C, Yellow Feather
0xAD40, Red Feather
0xAD44, Purple Feather
0xAD48, White Feather
0xAD4C, Rainbow Feather
0xAD50, Halo
0xAD54, Royal Crown
0xAD58, Crown
0xADB0, Black Knit Cap
0xADB4, Pilot's Cap
0xADB8, Fireman's Hat
0xADBC, Baby's Hat
0xADC0, Turban
0xADC4, Warbonnet
0xADC8, Kaffiyeh
0xADCC, Cow Bone
0xADD0, Samurai Wig
0xADD4, Geisha Wig
0xADD8, Ninja Hood
0xADDC, Powdered Wig
0xADE0, Afro Wig
0xADE4, Regent Wig
0xADE8, Mohawk Wig
0xADEC, Pigtail
0xADF0, Bun Wig
0xADF4, Tiara Hair
0xADF8, Bridal Veil
0xADFC, Headband
0xAE00, Bunny Hood
0xAE04, Cat Cap
0xAE08, Bear Cap
0xAE0C, Frog Cap
0xAE10, Kappa Cap
0xAE14, Helmet
0xAE18, Hero's Cap
0xAE1C, Laurel Wreath
0xAE20, Racing Helmet
0xAE24, Motocross Helmet
0xAE28, Football Helmet
0xAE2C, Knight's Helmet
0xAE30, Roman Helmet
0xAE34, Diving Mask
0xAE38, Space Helmet
0xAE3C, Ski Mask
0xAE40, Wrestling Mask
0xAE44, Dressing
0xAE48, Retro Helmet
0xAE4C, Red Zap Helmet
0xAE50, Blue Zap Helmet
0xAE54, Green Zap Helmet
0xAE58, Pink Zap Helmet
0xAE5C, Red Ogre Mask
0xAE60, Blue Ogre Mask
0xAE64, Majora's Mask
0xAE68, Samus Mask
0xAE6C, Midna's Mask
0xAE70, Toad Hat
0xAE74, Pumpkin Head
0xAE78, King Tut Mask
//Insects
0x9960, Common Butterfly
0x9964, Yellow Butterfly
0x9968, Tiger Butterfly
0x996C, Peacock
0x9970, Monarch
0x9974, Emperor
0x9978, Agrias Butterfly
0x997C, Raja Brooke
0x9980, Birdwing
0x9984, Moth
0x9988, Oak Silk Moth
0x998C, Honeybee
0x9990, Bee
0x9994, Long Locust
0x9998, Migratory Locust
0x999C, Mantis
0x99A0, Orchid Mantis
0x99A4, Brown Cicada
0x99A8, Robust Cicada
0x99AC, Walker Cicada
0x99B0, Evening Cicada
0x99B4, Lantern Fly
0x99B8, Red Dragonfly
0x99BC, Darner Dragonfly
0x99C0, Banded Dragonfly
0x99C4, Giant Petaltail
0x99C8, Ant
0x99CC, Pondskater
0x99D0, Diving Beetle
0x99D4, Snail
0x99D8, Cricket
0x99DC, Bell Cricket
0x99E0, Grasshopper
0x99E4, Mole Cricket
0x99E8, Walking Leaf
0x99EC, Walkingstick
0x99F0, Bagworm
0x99F4, Ladybug
0x99F8, Violin Beetle
0x99FC, Longhorn Beetle
0x9A00, Dung Beetle
0x9A04, Firefly
0x9A08, Fruit Beetle
0x9A0C, Scarab Beetle
0x9A10, Jewel Beetle
0x9A14, Miyama Stag
0x9A18, Saw Stag Beetle
0x9A1C, Giant Beetle
0x9A20, Rainbow Stag
0x9A24, Cyclommatus
0x9A28, Golden Stag
0x9A2C, Dynastid Beetle
0x9A30, Atlas Beetle
0x9A34, Elephant Beetle
0x9A38, Hercules Beetle
0x9A3C, Goliath Beetle
0x9A40, Flea
0x9A44, Pill Bug
0x9A48, Mosquito
0x9A4C, Fly
0x9A50, Centipede
0x9A54, Spider
0x9A58, Tarantula
0x9A5C, Scorpion
//Songs
0x94B0, K.K. Chorale
0x94B4, K.K. March
0x94B8, K.K. Waltz
0x94BC, K.K. Swing
0x94C0, K.K. Jazz
0x94C4, K.K. Fusion
0x94C8, K.K. Étude
0x94CC, K.K. Lullaby
0x94D0, K.K. Aria
0x94D4, K.K. Samba
0x94D8, K.K. Bossa
0x94DC, K.K. Calypso
0x94E0, K.K. Salsa
0x94E4, K.K. Mambo
0x94E8, K.K. Reggae
0x94EC, K.K. Ska
0x94F0, K.K. Tango
0x94F4, K.K. Faire
0x94F8, Aloha K.K.
0x94FC, Lucky K.K.
0x9500, K.K. Condor
0x9504, K.K. Steppe
0x9508, Imperial K.K.
0x950C, K.K. Casbah
0x9510, K.K. Safari
0x9514, K.K. Folk
0x9518, K.K. Rock
0x951C, Rockin' K.K.
0x9520, K.K. Ragtime
0x9524, K.K. Gumbo
0x9528, The K. Funk
0x952C, K.K. Blues
0x9530, Soulful K.K.
0x9534, K.K. Soul
0x9538, K.K. Cruisin'
0x953C, K.K. Love Song
0x9540, K.K. D & B
0x9544, K.K. Technopop
0x9548, DJ K.K.
0x954C, Only Me
0x9550, K.K. Country
0x9554, Surfin' K.K.
0x9558, K.K. Ballad
0x955C, Comrade K.K.
0x9560, K.K. Lament
0x9564, Go K.K. Rider!
0x9568, K.K. Dirge
0x956C, K.K. Western
