//Villager Info
ID = 0x0000, Name = Cyrano, Personality = 2, Catchphrase = ah-CHOO, Shirt = 0x2472, Furniture = [0x213C, 0x2390, 0x241A, 0x27EA, 0x2B9A, 0x2B9B, 0x2BA7, 0x2B9B, 0x29E8, 0x7FFE, 0x2BA6, 0x2B99, 0x2BA5, 0x29B6, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x200000, ]
ID = 0x0011, Name = Ike, Personality = 2, Catchphrase = roadie, Shirt = 0x7FFE, Furniture = [0x2145, 0x23D7, 0x247A, 0x27E7, 0x2DAF, 0x2C49, 0x2FF3, 0x7FFE, 0x7FFE, 0x2F6B, 0x2FC8, 0x2F6B, 0x2F42, 0x2F16, 0x2EE7, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D75, 0x7FFE, 0x140011, ]
ID = 0x0012, Name = Charlise, Personality = 7, Catchphrase = urgh, Shirt = 0x2531, Furniture = [0x215B, 0x237F, 0x2442, 0x27F8, 0x2B6C, 0x2C04, 0x7FFE, 0x2B24, 0x2CF5, 0x2B15, 0x2B6F, 0x2B6E, 0x2B16, 0x7FFE, 0x2C50, 0x2D26, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x3C0012, ]
ID = 0x0013, Name = Beardo, Personality = 3, Catchphrase = whiskers, Shirt = 0x254A, Furniture = [0x2175, 0x238F, 0x2422, 0x27E7, 0x7FFE, 0x2DDC, 0x2D35, 0x2C49, 0x2DE3, 0x2D33, 0x2DDB, 0x2DDF, 0x2D1D, 0x2D1F, 0x2DAC, 0x2D27, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x210013, ]
ID = 0x0014, Name = Klaus, Personality = 3, Catchphrase = strudel, Shirt = 0x252F, Furniture = [0x217D, 0x23C1, 0x2420, 0x2805, 0x2D40, 0x2D29, 0x2C49, 0x29F9, 0x29F9, 0x2B36, 0x2B36, 0x2BF3, 0x2BF9, 0x2BF9, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x20014, ]
ID = 0x0015, Name = Jay, Personality = 1, Catchphrase = heeeeeyy, Shirt = 0x244D, Furniture = [0x212D, 0x2353, 0x23ED, 0x27EE, 0x29F5, 0x2C4C, 0x29FB, 0x29F9, 0x2BF1, 0x2BDE, 0x2BE8, 0x2D48, 0x2BE6, 0x2BE7, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x29FF, 0x7FFE, 0x220015, ]
ID = 0x0016, Name = Robin, Personality = 6, Catchphrase = la-di-da, Shirt = 0x24FB, Furniture = [0x2135, 0x238C, 0x2417, 0x27ED, 0x2BC8, 0x2AC9, 0x29FB, 0x2AC7, 0x22FE, 0x2C64, 0x2BDE, 0x2BDC, 0x29FA, 0x2C47, 0x2C24, 0x2135, 0x2C39, 0x7FFE, 0x2E24, 0x7FFE, 0xE0016, ]
ID = 0x0017, Name = Anchovy, Personality = 0, Catchphrase = chuurp, Shirt = 0x24C8, Furniture = [0x2147, 0x2352, 0x2421, 0x27EE, 0x2BEE, 0x2C05, 0x2C05, 0x2C49, 0x29F9, 0x2C08, 0x2C08, 0x2C07, 0x2C08, 0x2C08, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CD7, 0x7FFE, 0x150017, ]
ID = 0x0018, Name = Twiggy, Personality = 5, Catchphrase = cheepers, Shirt = 0x24AA, Furniture = [0x2136, 0x234F, 0x23EE, 0x27E6, 0x29F0, 0x29EA, 0x2A11, 0x2A0C, 0x2C49, 0x2B90, 0x2B8F, 0x29CE, 0x29CB, 0x2A0E, 0x2D95, 0x2D97, 0x7FFE, 0x7FFE, 0x29F4, 0x7FFE, 0x250018, ]
ID = 0x0019, Name = Jitters, Personality = 1, Catchphrase = bzzert, Shirt = 0x251E, Furniture = [0x2134, 0x2384, 0x2406, 0x27E7, 0x2B2F, 0x2E21, 0x2B2D, 0x2DA8, 0x2C2B, 0x2B1D, 0x2B1D, 0x299C, 0x2B32, 0x2C50, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x270019, ]
ID = 0x001A, Name = Piper, Personality = 5, Catchphrase = chickadee, Shirt = 0x7FFE, Furniture = [0x2183, 0x239E, 0x2472, 0x27FE, 0x2CED, 0x29F5, 0x7FFE, 0x300A, 0x7FFE, 0x2F77, 0x2F8F, 0x7FFE, 0x2F56, 0x7FFE, 0x2FBC, 0x2FDB, 0x2F0A, 0x7FFE, 0x7FFE, 0x2F81, 0x4C001A, ]
ID = 0x001B, Name = Admiral, Personality = 2, Catchphrase = aye aye, Shirt = 0x7FFE, Furniture = [0x216C, 0x2384, 0x2433, 0x27E7, 0x7FFE, 0x2FE6, 0x2FA3, 0x2FC3, 0x2FA7, 0x2EE0, 0x2FA4, 0x2BF6, 0x2CE3, 0x2CE3, 0x3009, 0x2F2D, 0x2EEF, 0x2F83, 0x2D71, 0x2FA5, 0x27001B, ]
ID = 0x001C, Name = Midge, Personality = 4, Catchphrase = tweedledee, Shirt = 0x2509, Furniture = [0x2132, 0x236E, 0x2430, 0x27F5, 0x2A00, 0x2A55, 0x2A51, 0x2A4E, 0x2A53, 0x2A50, 0x2A52, 0x2A06, 0x2C26, 0x2981, 0x2D45, 0x2CFE, 0x2C24, 0x7FFE, 0x2D75, 0x2CD6, 0x1001C, ]
ID = 0x001D, Name = Jakey, Personality = 0, Catchphrase = ya feel, Shirt = 0x7FFE, Furniture = [0x215F, 0x23A1, 0x2441, 0x27E9, 0x2E3E, 0x2E3E, 0x3013, 0x2E42, 0x3013, 0x300B, 0x7FFE, 0x2F50, 0x2F98, 0x2EFF, 0x2FAB, 0x2EDC, 0x2F89, 0x7FFE, 0x2D75, 0x2D6F, 0x32001D, ]
ID = 0x001E, Name = Lucha, Personality = 3, Catchphrase = cacaw, Shirt = 0x2556, Furniture = [0x215A, 0x2366, 0x2405, 0x2803, 0x2B1F, 0x2B21, 0x2B25, 0x2B23, 0x2D9B, 0x2D5B, 0x2D7C, 0x2B26, 0x2B27, 0x2C4F, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D75, 0x7FFE, 0x4D001E, ]
ID = 0x001F, Name = Jacques, Personality = 3, Catchphrase = zut alors, Shirt = 0x2557, Furniture = [0x2174, 0x2382, 0x2450, 0x2804, 0x7FFE, 0x2D61, 0x2BF1, 0x2DB0, 0x2DB0, 0x2D09, 0x2D09, 0x2D48, 0x2A3C, 0x2D4D, 0x2D56, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D73, 0x2CD8, 0x2001F, ]
ID = 0x0020, Name = Peck, Personality = 1, Catchphrase = crunch, Shirt = 0x2599, Furniture = [0x2163, 0x2378, 0x245D, 0x27E9, 0x29F5, 0x2C4B, 0x7FFE, 0x2AE8, 0x2DA8, 0x2C30, 0x29FE, 0x2977, 0x2BDD, 0x2BDB, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CD6, 0x180020, ]
ID = 0x0021, Name = Sparro, Personality = 1, Catchphrase = like whoa, Shirt = 0x2459, Furniture = [0x216C, 0x237F, 0x241B, 0x2802, 0x2B9A, 0x2B9D, 0x2C1C, 0x2C23, 0x2B9B, 0x2CE9, 0x2BF8, 0x7FFE, 0x2BCF, 0x2C4E, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D73, 0x7FFE, 0xA0021, ]
ID = 0x0022, Name = Medli, Personality = 4, Catchphrase = gimme, Shirt = 0x7FFE, Furniture = [0x2178, 0x2350, 0x23EF, 0x27E9, 0x7FFE, 0x3000, 0x2F7C, 0x2EC2, 0x2A1D, 0x2CB6, 0x2CB6, 0x7FFE, 0x7FFE, 0x7FFE, 0x2C73, 0x7FFE, 0x7FFE, 0x7FFE, 0x2F0D, 0x308B, 0x20022, ]
ID = 0x0023, Name = Angus, Personality = 2, Catchphrase = macmoo, Shirt = 0x24D9, Furniture = [0x215E, 0x237A, 0x240D, 0x2803, 0x29F5, 0x2B93, 0x29FC, 0x2C05, 0x2C4C, 0x2C06, 0x2C07, 0x7FFE, 0x2BDA, 0x29FA, 0x2BD2, 0x2D32, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CD6, 0x180023, ]
ID = 0x0024, Name = Rodeo, Personality = 0, Catchphrase = chaps, Shirt = 0x2489, Furniture = [0x2171, 0x2382, 0x2433, 0x27F7, 0x2D3B, 0x2A37, 0x2A3B, 0x2A3F, 0x2C4A, 0x2B98, 0x2A3C, 0x2D24, 0x2C76, 0x2BD5, 0x2D3D, 0x2D27, 0x7FFE, 0x7FFE, 0x2D7A, 0x2D79, 0x360024, ]
ID = 0x0025, Name = Stu, Personality = 0, Catchphrase = moo-dude, Shirt = 0x7FFE, Furniture = [0x216D, 0x239B, 0x247A, 0x27F2, 0x7FFE, 0x2C14, 0x2FBF, 0x300F, 0x7FFE, 0x2F12, 0x2F4A, 0x2C79, 0x2F6D, 0x2F6D, 0x2F11, 0x7FFE, 0x7FFE, 0x7FFE, 0x2F26, 0x7FFE, 0x170025, ]
ID = 0x0026, Name = T-Bone, Personality = 2, Catchphrase = moocher, Shirt = 0x255E, Furniture = [0x2140, 0x238F, 0x2427, 0x2804, 0x29F5, 0x2DDE, 0x2E37, 0x2C44, 0x29F9, 0x2CF2, 0x29FA, 0x7FFE, 0x2BDA, 0x2C46, 0x2D0B, 0x2D55, 0x2DA1, 0x7FFE, 0x7FFE, 0x7FFE, 0xD0026, ]
ID = 0x0027, Name = Coach, Personality = 1, Catchphrase = stubble, Shirt = 0x257A, Furniture = [0x216A, 0x23A6, 0x2442, 0x2809, 0x2B6C, 0x2B6D, 0x2CF5, 0x2B03, 0x2B23, 0x2B6E, 0x2B6E, 0x2B6E, 0x2B6E, 0x2C4E, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x4C0027, ]
ID = 0x0028, Name = Vic, Personality = 2, Catchphrase = cud, Shirt = 0x252D, Furniture = [0x213E, 0x2369, 0x2408, 0x2803, 0x2B4C, 0x316B, 0x2B4B, 0x2B4B, 0x7FFE, 0x2B4D, 0x2B48, 0x2B49, 0x2C46, 0x2C32, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2E3A, 0x410028, ]
ID = 0x0029, Name = Bob, Personality = 0, Catchphrase = pthhpth, Shirt = 0x2582, Furniture = [0x2147, 0x2356, 0x23F5, 0x27E6, 0x2A47, 0x2A42, 0x2A4B, 0x2A45, 0x2C14, 0x2DA6, 0x2A44, 0x2A4A, 0x2A49, 0x2BD7, 0x2BA3, 0x2BD0, 0x7FFE, 0x7FFE, 0x2A4C, 0x7FFE, 0x240029, ]
ID = 0x002A, Name = Mitzi, Personality = 4, Catchphrase = mew, Shirt = 0x249E, Furniture = [0x212E, 0x2385, 0x23EE, 0x27F1, 0x2A10, 0x2A1F, 0x2A17, 0x2A0B, 0x2A1D, 0x29CE, 0x2BED, 0x2A0E, 0x2C47, 0x2BDF, 0x2C37, 0x2C24, 0x7FFE, 0x7FFE, 0x2A36, 0x2CD6, 0xB002A, ]
ID = 0x002B, Name = Rosie, Personality = 5, Catchphrase = silly, Shirt = 0x2497, Furniture = [0x2182, 0x236E, 0x242D, 0x27F2, 0x2BC8, 0x2A67, 0x2C6F, 0x2A63, 0x2A4E, 0x2BE2, 0x2A4F, 0x2A54, 0x2BC7, 0x2A69, 0x2D5D, 0x2C50, 0x7FFE, 0x7FFE, 0x2A6D, 0x2D6B, 0x24002B, ]
ID = 0x002C, Name = Olivia, Personality = 6, Catchphrase = purrr, Shirt = 0x257E, Furniture = [0x2161, 0x2377, 0x23ED, 0x27FE, 0x2BEE, 0x2A01, 0x2C49, 0x2A04, 0x2A05, 0x2BE8, 0x2A03, 0x2BDE, 0x2A09, 0x2A06, 0x2C24, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x1C002C, ]
ID = 0x002D, Name = Kiki, Personality = 4, Catchphrase = kitty cat, Shirt = 0x24C4, Furniture = [0x2153, 0x236F, 0x2424, 0x27EB, 0x29F0, 0x2BEE, 0x2C49, 0x29ED, 0x29F1, 0x29EF, 0x2CF6, 0x2B90, 0x2B8F, 0x29B4, 0x22E9, 0x2DAC, 0x7FFE, 0x7FFE, 0x2D70, 0x7FFE, 0x31002D, ]
ID = 0x002E, Name = Tangy, Personality = 5, Catchphrase = reeeeOWR, Shirt = 0x248E, Furniture = [0x2178, 0x2378, 0x242E, 0x27F5, 0x2BC2, 0x2A17, 0x2C4C, 0x2A1D, 0x2C69, 0x2BC0, 0x2BC3, 0x2BBD, 0x2983, 0x2BBC, 0x2C37, 0x2BED, 0x7FFE, 0x7FFE, 0x2D76, 0x7FFE, 0x1B002E, ]
ID = 0x002F, Name = Punchy, Personality = 0, Catchphrase = mrmpht, Shirt = 0x24B5, Furniture = [0x214E, 0x23C3, 0x23F0, 0x27ED, 0x2A10, 0x2A0B, 0x2A0F, 0x2A11, 0x2C4A, 0x2BE1, 0x2A14, 0x2C26, 0x2C22, 0x2969, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2A15, 0x7FFE, 0x22002F, ]
ID = 0x0030, Name = Purrl, Personality = 6, Catchphrase = kitten, Shirt = 0x2507, Furniture = [0x212E, 0x2393, 0x240D, 0x27F5, 0x29F5, 0x29E4, 0x2C4B, 0x29F9, 0x29E7, 0x2C53, 0x2995, 0x2C1D, 0x2BD9, 0x29FA, 0x2BB4, 0x2BD0, 0x7FFE, 0x7FFE, 0x29E9, 0x7FFE, 0x30030, ]
ID = 0x0031, Name = Moe, Personality = 0, Catchphrase = myawn, Shirt = 0x2459, Furniture = [0x2147, 0x2351, 0x2424, 0x27F8, 0x2E0D, 0x2D3E, 0x2B7C, 0x2E0A, 0x2B76, 0x2B67, 0x2B66, 0x2B68, 0x2B71, 0x2BDD, 0x2C4F, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D6D, 0x2E0C, 0x70031, ]
ID = 0x0032, Name = Kabuki, Personality = 2, Catchphrase = meooo-OH, Shirt = 0x2473, Furniture = [0x2144, 0x237E, 0x241A, 0x27EA, 0x2B9A, 0x2C6B, 0x2B9B, 0x2CBA, 0x2BA8, 0x2BCE, 0x2C48, 0x2C1D, 0x2C77, 0x2C0D, 0x2EC8, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x440032, ]
ID = 0x0033, Name = Kid Cat, Personality = 1, Catchphrase = psst, Shirt = 0x2467, Furniture = [0x2158, 0x239B, 0x243A, 0x27EC, 0x2C04, 0x2C2B, 0x2B13, 0x2B23, 0x2B25, 0x2B7E, 0x2BF6, 0x2C1D, 0x2B1D, 0x2C4E, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D78, 0x7FFE, 0xC0033, ]
ID = 0x0034, Name = Monique, Personality = 6, Catchphrase = pffffft, Shirt = 0x24FE, Furniture = [0x212E, 0x2379, 0x23F3, 0x27EB, 0x2A4D, 0x2A53, 0x2BEF, 0x2A01, 0x2A04, 0x2CF6, 0x2A54, 0x2A56, 0x2BCA, 0x2BDB, 0x2CFE, 0x2BF4, 0x7FFE, 0x7FFE, 0x7FFE, 0x2A57, 0x210034, ]
ID = 0x0035, Name = Tabby, Personality = 5, Catchphrase = me-WOW, Shirt = 0x2514, Furniture = [0x2164, 0x237F, 0x2420, 0x27ED, 0x2C66, 0x2BB3, 0x2BAE, 0x2BAE, 0x2BAD, 0x2C70, 0x2BDB, 0x2E23, 0x2BAF, 0x2B2C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D71, 0x2D79, 0x150035, ]
ID = 0x0036, Name = Stinky, Personality = 1, Catchphrase = GAAHHH, Shirt = 0x24E7, Furniture = [0x2158, 0x2366, 0x2405, 0x2803, 0x2B21, 0x2B23, 0x2B25, 0x2B24, 0x2C4C, 0x2B70, 0x2B70, 0x2B27, 0x2B1E, 0x2B1E, 0x2B22, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x180036, ]
ID = 0x0037, Name = Kitty, Personality = 6, Catchphrase = mrowrr, Shirt = 0x250A, Furniture = [0x2131, 0x2377, 0x2427, 0x27E8, 0x2A00, 0x2A08, 0x2A01, 0x2DDC, 0x2DE3, 0x7FFE, 0x2BE6, 0x2D48, 0x2BD9, 0x2A03, 0x2C46, 0x2C24, 0x7FFE, 0x7FFE, 0x2A0A, 0x2CD6, 0x1E0037, ]
ID = 0x0038, Name = Tom, Personality = 2, Catchphrase = me-YOWZA, Shirt = 0x2459, Furniture = [0x216F, 0x2393, 0x2426, 0x2803, 0x29DF, 0x29E7, 0x29E8, 0x2C6A, 0x29E2, 0x2C47, 0x2BF2, 0x2BE0, 0x2BB6, 0x296B, 0x29E6, 0x2BCD, 0x7FFE, 0x7FFE, 0x29E9, 0x7FFE, 0xC0038, ]
ID = 0x0039, Name = Merry, Personality = 5, Catchphrase = mweee, Shirt = 0x2452, Furniture = [0x2151, 0x2387, 0x2423, 0x27EE, 0x2A26, 0x2C1E, 0x2A29, 0x2C6C, 0x2C4B, 0x2C26, 0x7FFE, 0x2BDA, 0x2D2A, 0x2A24, 0x2C24, 0x7FFE, 0x7FFE, 0x7FFE, 0x2A2B, 0x7FFE, 0x260039, ]
ID = 0x003A, Name = Felicity, Personality = 5, Catchphrase = mimimi, Shirt = 0x2493, Furniture = [0x2132, 0x2367, 0x2437, 0x27F5, 0x7FFE, 0x2B2F, 0x7FFE, 0x2B2D, 0x2CC9, 0x2C50, 0x2D53, 0x2B28, 0x2C15, 0x2BDE, 0x2C17, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x32003A, ]
ID = 0x003B, Name = Lolly, Personality = 4, Catchphrase = bonbon, Shirt = 0x2494, Furniture = [0x2177, 0x23B2, 0x240F, 0x27EE, 0x2DEC, 0x2D41, 0x2DB9, 0x2DC1, 0x2C1E, 0x2C26, 0x2DBE, 0x2BD5, 0x2DBB, 0x2D4B, 0x2D50, 0x2CFE, 0x7FFE, 0x7FFE, 0x2DBD, 0x2D69, 0x3F003B, ]
ID = 0x003C, Name = Ankha, Personality = 6, Catchphrase = me meow, Shirt = 0x2516, Furniture = [0x216A, 0x2392, 0x2435, 0x27E9, 0x2BFD, 0x2BFD, 0x2BFE, 0x2BFE, 0x7FFE, 0x2BFF, 0x2C80, 0x2B36, 0x2B36, 0x2BFC, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x41003C, ]
ID = 0x003D, Name = Rudy, Personality = 1, Catchphrase = mush, Shirt = 0x2496, Furniture = [0x2149, 0x2368, 0x2453, 0x2804, 0x2DA5, 0x29EA, 0x29EB, 0x2C4B, 0x2D1C, 0x2B3B, 0x2CEC, 0x2B90, 0x2C02, 0x29EF, 0x2C74, 0x2D34, 0x7FFE, 0x7FFE, 0x2EA1, 0x7FFE, 0xB003D, ]
ID = 0x003E, Name = Katt, Personality = 7, Catchphrase = purrty, Shirt = 0x2589, Furniture = [0x2154, 0x2388, 0x2433, 0x2800, 0x2E3E, 0x2C4C, 0x2D59, 0x2DB0, 0x2DB0, 0x2D4D, 0x2BD5, 0x2BEB, 0x2BEC, 0x2CEE, 0x2C75, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D0A, 0x2D79, 0x3003E, ]
ID = 0x003F, Name = Felyne, Personality = 0, Catchphrase = nya, Shirt = 0x7FFE, Furniture = [0x217A, 0x23DC, 0x247E, 0x2808, 0x3022, 0x3023, 0x3024, 0x301E, 0x7FFE, 0x3020, 0x7FFE, 0x3027, 0x309B, 0x309C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x4F003F, ]
ID = 0x0040, Name = Bluebear, Personality = 5, Catchphrase = peach, Shirt = 0x24B0, Furniture = [0x213A, 0x236D, 0x23EE, 0x27F7, 0x2DEC, 0x2A11, 0x2AE8, 0x2DED, 0x2A0B, 0x2AED, 0x2AF1, 0x2980, 0x2A0E, 0x2BD7, 0x2C4F, 0x2C24, 0x7FFE, 0x7FFE, 0x2AEC, 0x2D6B, 0x1D0040, ]
ID = 0x0041, Name = Maple, Personality = 4, Catchphrase = honey, Shirt = 0x2493, Furniture = [0x2160, 0x2354, 0x23F3, 0x27FA, 0x29F5, 0x2AE8, 0x2BEF, 0x2C4B, 0x29FC, 0x2CF6, 0x2BD5, 0x29FD, 0x2B88, 0x29FA, 0x2B89, 0x2B8A, 0x2B89, 0x7FFE, 0x29FF, 0x2CD6, 0x210041, ]
