//Villager Info
ID = 0x0000, Name = Cyrano, Personality = 2, Catchphrase = ah-CHOO, Shirt = 0x2472, Furniture = [0x2137, 0x2386, 0x23F6, 0x2759, 0x2AF0, 0x2AF1, 0x2AFD, 0x2AF1, 0x293E, 0x7FFE, 0x2AFC, 0x2AEF, 0x2AFB, 0x290C, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x200000, ]
ID = 0x001C, Name = Angus, Personality = 2, Catchphrase = macmoo, Shirt = 0x24D9, Furniture = [0x2159, 0x2370, 0x23E9, 0x2772, 0x294B, 0x2AE9, 0x2952, 0x2B5B, 0x2BA2, 0x2B5C, 0x2B5D, 0x7FFE, 0x2B30, 0x2950, 0x2B28, 0x2C88, 0x7FFE, 0x7FFE, 0x7FFE, 0x2C2C, 0x18001C, ]
ID = 0x001D, Name = Rodeo, Personality = 0, Catchphrase = chaps, Shirt = 0x2489, Furniture = [0x216C, 0x2378, 0x240F, 0x2766, 0x2C91, 0x298D, 0x2991, 0x2995, 0x2BA0, 0x2AEE, 0x2992, 0x2C7A, 0x2BCC, 0x2B2B, 0x2C93, 0x2C7D, 0x7FFE, 0x7FFE, 0x2CD0, 0x2CCF, 0x2D001D, ]
ID = 0x001E, Name = T-Bone, Personality = 2, Catchphrase = moocher, Shirt = 0x255E, Furniture = [0x213B, 0x2385, 0x2403, 0x2773, 0x294B, 0x2D34, 0x2D8D, 0x2B9A, 0x294F, 0x2C48, 0x2950, 0x7FFE, 0x2B30, 0x2B9C, 0x2C61, 0x2CAB, 0x2CF7, 0x7FFE, 0x7FFE, 0x7FFE, 0xD001E, ]
ID = 0x001F, Name = Coach, Personality = 1, Catchphrase = stubble, Shirt = 0x257A, Furniture = [0x2165, 0x239C, 0x241E, 0x2778, 0x2AC2, 0x2AC3, 0x2C4B, 0x2A59, 0x2A79, 0x2AC4, 0x2AC4, 0x2AC4, 0x2AC4, 0x2BA4, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x43001F, ]
ID = 0x0020, Name = Vic, Personality = 2, Catchphrase = cud, Shirt = 0x252D, Furniture = [0x2139, 0x235F, 0x23E4, 0x2772, 0x2AA2, 0x2ECB, 0x2AA1, 0x2AA1, 0x7FFE, 0x2AA3, 0x2A9E, 0x2A9F, 0x2B9C, 0x2B88, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2D90, 0x380020, ]
ID = 0x0021, Name = Bob, Personality = 0, Catchphrase = pthhpth, Shirt = 0x2582, Furniture = [0x2142, 0x234C, 0x23D1, 0x2755, 0x299D, 0x2998, 0x29A1, 0x299B, 0x2B6A, 0x2CFC, 0x299A, 0x29A0, 0x299F, 0x2B2D, 0x2AF9, 0x2B26, 0x7FFE, 0x7FFE, 0x29A2, 0x7FFE, 0x240021, ]
ID = 0x0022, Name = Mitzi, Personality = 4, Catchphrase = mew, Shirt = 0x249E, Furniture = [0x2129, 0x237B, 0x23CA, 0x2760, 0x2966, 0x2975, 0x296D, 0x2961, 0x2973, 0x2924, 0x2B43, 0x2964, 0x2B9D, 0x2B35, 0x2B8D, 0x2B7A, 0x7FFE, 0x7FFE, 0x298C, 0x2C2C, 0xB0022, ]
ID = 0x0023, Name = Rosie, Personality = 5, Catchphrase = silly, Shirt = 0x2497, Furniture = [0x217D, 0x2364, 0x2409, 0x2761, 0x2B1E, 0x29BD, 0x2BC5, 0x29B9, 0x29A4, 0x2B38, 0x29A5, 0x29AA, 0x2B1D, 0x29BF, 0x2CB3, 0x2BA6, 0x7FFE, 0x7FFE, 0x29C3, 0x2CC1, 0x240023, ]
ID = 0x0024, Name = Olivia, Personality = 6, Catchphrase = purrr, Shirt = 0x257E, Furniture = [0x215C, 0x236D, 0x23C9, 0x276D, 0x2B44, 0x2957, 0x2B9F, 0x295A, 0x295B, 0x2B3E, 0x2959, 0x2B34, 0x295F, 0x295C, 0x2B7A, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x1C0024, ]
ID = 0x0025, Name = Kiki, Personality = 4, Catchphrase = kitty cat, Shirt = 0x24C4, Furniture = [0x214E, 0x2365, 0x2400, 0x275A, 0x2946, 0x2B44, 0x2B9F, 0x2943, 0x2947, 0x2945, 0x2C4C, 0x2AE6, 0x2AE5, 0x290A, 0x22DF, 0x2D02, 0x7FFE, 0x7FFE, 0x2CC6, 0x7FFE, 0x280025, ]
ID = 0x0026, Name = Tangy, Personality = 5, Catchphrase = reeeeOWR, Shirt = 0x248E, Furniture = [0x2173, 0x236E, 0x240A, 0x2764, 0x2B18, 0x296D, 0x2BA2, 0x2973, 0x2BBF, 0x2B16, 0x2B19, 0x2B13, 0x28D9, 0x2B12, 0x2B8D, 0x2B43, 0x7FFE, 0x7FFE, 0x2CCC, 0x7FFE, 0x1B0026, ]
ID = 0x0027, Name = Punchy, Personality = 0, Catchphrase = mrmpht, Shirt = 0x24B5, Furniture = [0x2149, 0x23B9, 0x23CC, 0x275C, 0x2966, 0x2961, 0x2965, 0x2967, 0x2BA0, 0x2B37, 0x296A, 0x2B7C, 0x2B78, 0x28BF, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x296B, 0x7FFE, 0x220027, ]
ID = 0x0028, Name = Purrl, Personality = 6, Catchphrase = kitten, Shirt = 0x2507, Furniture = [0x2129, 0x2389, 0x23E9, 0x2764, 0x294B, 0x293A, 0x2BA1, 0x294F, 0x293D, 0x2BA9, 0x28EB, 0x2B73, 0x2B2F, 0x2950, 0x2B0A, 0x2B26, 0x7FFE, 0x7FFE, 0x293F, 0x7FFE, 0x30028, ]
ID = 0x0029, Name = Moe, Personality = 0, Catchphrase = myawn, Shirt = 0x2459, Furniture = [0x2142, 0x2347, 0x2400, 0x2767, 0x2D63, 0x2C94, 0x2AD2, 0x2D60, 0x2ACC, 0x2ABD, 0x2ABC, 0x2ABE, 0x2AC7, 0x2B33, 0x2BA5, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CC3, 0x2D62, 0x70029, ]
ID = 0x002A, Name = Kabuki, Personality = 2, Catchphrase = meooo-OH, Shirt = 0x2473, Furniture = [0x213F, 0x2374, 0x23F6, 0x2759, 0x2AF0, 0x2BC1, 0x2AF1, 0x2C10, 0x2AFE, 0x2B24, 0x2B9E, 0x2B73, 0x2BCD, 0x2B63, 0x2E1E, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x3B002A, ]
ID = 0x002B, Name = Kid Cat, Personality = 1, Catchphrase = psst, Shirt = 0x2467, Furniture = [0x2153, 0x2391, 0x2416, 0x275B, 0x2B5A, 0x2B81, 0x2A69, 0x2A79, 0x2A7B, 0x2AD4, 0x2B4C, 0x2B73, 0x2A73, 0x2BA4, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CCE, 0x7FFE, 0xC002B, ]
ID = 0x002C, Name = Monique, Personality = 6, Catchphrase = pffffft, Shirt = 0x24FE, Furniture = [0x2129, 0x236F, 0x23CF, 0x275A, 0x29A3, 0x29A9, 0x2B45, 0x2957, 0x295A, 0x2C4C, 0x29AA, 0x29AC, 0x2B20, 0x2B31, 0x2C54, 0x2B4A, 0x7FFE, 0x7FFE, 0x7FFE, 0x29AD, 0x21002C, ]
ID = 0x002D, Name = Tabby, Personality = 5, Catchphrase = me-WOW, Shirt = 0x2514, Furniture = [0x215F, 0x2375, 0x23FC, 0x275C, 0x2BBC, 0x2B09, 0x2B04, 0x2B04, 0x2B03, 0x2BC6, 0x2B31, 0x2D79, 0x2B05, 0x2A82, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x2CC7, 0x2CCF, 0x15002D, ]
ID = 0x002E, Name = Stinky, Personality = 1, Catchphrase = GAAHHH, Shirt = 0x24E7, Furniture = [0x2153, 0x235C, 0x23E1, 0x2772, 0x2A77, 0x2A79, 0x2A7B, 0x2A7A, 0x2BA2, 0x2AC6, 0x2AC6, 0x2A7D, 0x2A74, 0x2A74, 0x2A78, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x18002E, ]
ID = 0x002F, Name = Kitty, Personality = 6, Catchphrase = mrowrr, Shirt = 0x250A, Furniture = [0x212C, 0x236D, 0x2403, 0x2757, 0x2956, 0x295E, 0x2957, 0x2D32, 0x2D39, 0x7FFE, 0x2B3C, 0x2C9E, 0x2B2F, 0x2959, 0x2B9C, 0x2B7A, 0x7FFE, 0x7FFE, 0x2960, 0x2C2C, 0x1E002F, ]
ID = 0x0030, Name = Tom, Personality = 2, Catchphrase = me-YOWZA, Shirt = 0x2459, Furniture = [0x216A, 0x2389, 0x2402, 0x2772, 0x2935, 0x293D, 0x293E, 0x2BC0, 0x2938, 0x2B9D, 0x2B48, 0x2B36, 0x2B0C, 0x28C1, 0x293C, 0x2B23, 0x7FFE, 0x7FFE, 0x293F, 0x7FFE, 0xC0030, ]
ID = 0x0031, Name = Merry, Personality = 5, Catchphrase = mweee, Shirt = 0x2452, Furniture = [0x214C, 0x237D, 0x23FF, 0x275D, 0x297C, 0x2B74, 0x297F, 0x2BC2, 0x2BA1, 0x2B7C, 0x7FFE, 0x2B30, 0x2C80, 0x297A, 0x2B7A, 0x7FFE, 0x7FFE, 0x7FFE, 0x2981, 0x7FFE, 0x260031, ]
ID = 0x0032, Name = Felicity, Personality = 5, Catchphrase = mimimi, Shirt = 0x2493, Furniture = [0x212D, 0x235D, 0x2413, 0x2764, 0x7FFE, 0x2A85, 0x7FFE, 0x2A83, 0x2C1F, 0x2BA6, 0x2CA9, 0x2A7E, 0x2B6B, 0x2B34, 0x2B6D, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x290032, ]
ID = 0x0033, Name = Lolly, Personality = 4, Catchphrase = bonbon, Shirt = 0x2494, Furniture = [0x2172, 0x23A8, 0x23EB, 0x275D, 0x2D42, 0x2C97, 0x2D0F, 0x2D17, 0x2B74, 0x2B7C, 0x2D14, 0x2B2B, 0x2D11, 0x2CA1, 0x2CA6, 0x2C54, 0x7FFE, 0x7FFE, 0x2D13, 0x2CBF, 0x360033, ]
ID = 0x0034, Name = Ankha, Personality = 6, Catchphrase = me meow, Shirt = 0x2516, Furniture = [0x2165, 0x2388, 0x2411, 0x2758, 0x2B53, 0x2B53, 0x2B54, 0x2B54, 0x7FFE, 0x2B55, 0x2BD6, 0x2A8C, 0x2A8C, 0x2B52, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x380034, ]
ID = 0x0035, Name = Rudy, Personality = 1, Catchphrase = mush, Shirt = 0x2496, Furniture = [0x2144, 0x235E, 0x242F, 0x2773, 0x2CFB, 0x2940, 0x2941, 0x2BA1, 0x2C72, 0x2A91, 0x2C42, 0x2AE6, 0x2B58, 0x2945, 0x2BCA, 0x2C8A, 0x7FFE, 0x7FFE, 0x2DF7, 0x7FFE, 0xB0035, ]
ID = 0x0036, Name = Katt, Personality = 7, Catchphrase = purrty, Shirt = 0x2589, Furniture = [0x214F, 0x237E, 0x240F, 0x276F, 0x2D94, 0x2BA2, 0x2CAF, 0x2D06, 0x2D06, 0x2CA3, 0x2B2B, 0x2B41, 0x2B42, 0x2C44, 0x2BCB, 0x7FFE, 0x7FFE, 0x7FFE, 0x2C60, 0x2CCF, 0x30036, ]
ID = 0x0037, Name = Bluebear, Personality = 5, Catchphrase = peach, Shirt = 0x24B0, Furniture = [0x2135, 0x2363, 0x23CA, 0x2766, 0x2D42, 0x2967, 0x2A3E, 0x2D43, 0x2961, 0x2A43, 0x2A47, 0x28D6, 0x2964, 0x2B2D, 0x2BA5, 0x2B7A, 0x7FFE, 0x7FFE, 0x2A42, 0x2CC1, 0x1D0037, ]
ID = 0x0038, Name = Maple, Personality = 4, Catchphrase = honey, Shirt = 0x2493, Furniture = [0x215B, 0x234A, 0x23CF, 0x2769, 0x294B, 0x2A3E, 0x2B45, 0x2BA1, 0x2952, 0x2C4C, 0x2B2B, 0x2953, 0x2ADE, 0x2950, 0x2ADF, 0x2AE0, 0x2ADF, 0x7FFE, 0x2955, 0x2C2C, 0x210038, ]
ID = 0x0039, Name = Poncho, Personality = 1, Catchphrase = li'l bear, Shirt = 0x2495, Furniture = [0x213A, 0x2387, 0x240F, 0x276C, 0x298D, 0x2BC2, 0x2995, 0x2B6A, 0x2BA2, 0x2B33, 0x7FFE, 0x2B3F, 0x2913, 0x2A6A, 0x2BD5, 0x2C93, 0x7FFE, 0x7FFE, 0x2A42, 0x2C2C, 0x260039, ]
ID = 0x003A, Name = Pudge, Personality = 0, Catchphrase = pudgy, Shirt = 0x24D6, Furniture = [0x2141, 0x235E, 0x240A, 0x275E, 0x2A94, 0x2A83, 0x2BA3, 0x2C72, 0x2A8D, 0x2B30, 0x291F, 0x2CB6, 0x2B1B, 0x2B1C, 0x7FFE, 0x2BCA, 0x7FFE, 0x7FFE, 0x2CC6, 0x7FFE, 0x1A003A, ]
ID = 0x003B, Name = Kody, Personality = 1, Catchphrase = grah grah, Shirt = 0x24A5, Furniture = [0x214E, 0x2359, 0x23DE, 0x276B, 0x7FFE, 0x2A57, 0x2A58, 0x2A59, 0x2A57, 0x2A5A, 0x2AEA, 0x2B9C, 0x2A54, 0x2A5B, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x1F003B, ]
ID = 0x003C, Name = Stitches, Personality = 0, Catchphrase = stuffin', Shirt = 0x24DF, Furniture = [0x212D, 0x235E, 0x23E3, 0x2756, 0x2A94, 0x2C49, 0x2999, 0x2A8D, 0x29A1, 0x297E, 0x2D74, 0x28D6, 0x2A93, 0x2C7B, 0x2ADF, 0x2B8F, 0x2A92, 0x7FFE, 0x2981, 0x2C2C, 0x003C, ]
ID = 0x003D, Name = Vladimir, Personality = 2, Catchphrase = nyet, Shirt = 0x249B, Furniture = [0x2169, 0x2391, 0x241D, 0x2772, 0x7FFE, 0x2A69, 0x2A6F, 0x2A69, 0x7FFE, 0x2A73, 0x2A67, 0x2A70, 0x2A6C, 0x2BA4, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x7FFE, 0x18003D, ]
ID = 0x003E, Name = Cheri, Personality = 5, Catchphrase = tralala, Shirt = 0x2597, Furniture = [0x217E, 0x23B2, 0x23E6, 0x275D, 0x2C43, 0x2D46, 0x2D49, 0x2D4C, 0x2A3E, 0x2B32, 0x2A44, 0x2D45, 0x2D4E, 0x2D4F, 0x2CED, 0x2B8D, 0x7FFE, 0x7FFE, 0x2CCE, 0x2D4B, 0x26003E, ]
ID = 0x003F, Name = Pekoe, Personality = 4, Catchphrase = bud, Shirt = 0x2508, Furniture = [0x213C, 0x2389, 0x240E, 0x2759, 0x2935, 0x293D, 0x293D, 0x2938, 0x293A, 0x2B0B, 0x293C, 0x2B36, 0x2B31, 0x2B9C, 0x2B8E, 0x2C8E, 0x7FFE, 0x7FFE, 0x293F, 0x7FFE, 0x003F, ]
ID = 0x0040, Name = Chester, Personality = 0, Catchphrase = rookie, Shirt = 0x2487, Furniture = [0x213C, 0x2386, 0x2410, 0x2758, 0x2CA5, 0x2B9F, 0x293A, 0x293D, 0x293E, 0x2C65, 0x2B02, 0x2937, 0x2B31, 0x293C, 0x2AE2, 0x2B0A, 0x7FFE, 0x7FFE, 0x293F, 0x7FFE, 0x230040, ]
ID = 0x0041, Name = Barold, Personality = 0, Catchphrase = cubby, Shirt = 0x24F2, Furniture = [0x215D, 0x2380, 0x2401, 0x2777, 0x2ADD, 0x2AD2, 0x2B6E, 0x2C94, 0x2CAE, 0x2BA4, 0x2AB6, 0x2B2B, 0x2CB1, 0x2CAD, 0x2CAC, 0x2C5B, 0x7FFE, 0x7FFE, 0x2CC7, 0x2C2C, 0x120041, ]
ID = 0x0042, Name = Tammy, Personality = 7, Catchphrase = ya heard, Shirt = 0x257C, Furniture = [0x217F, 0x2366, 0x242A, 0x276E, 0x2D42, 0x2D3D, 0x2D0E, 0x2AE9, 0x2B9F, 0x2AE8, 0x2B3F, 0x7FFE, 0x2B9B, 0x2B37, 0x2C8C, 0x2CA6, 0x7FFE, 0x7FFE, 0x2A42, 0x2C2C, 0x70042, ]
