//Transition Acres
0x0000, 0
0x00AA, 32 (River NE)
0x00AB, 33 (River NE)
0x00AC, 34 (River NE)
0x00AD, 35 (River NE)
0x00AE, 36 (River NE + Bridge)
0x00AF, 37 (River NE + Bridge)
0x00B0, 38 (River NE + Bridge)
0x00B1, 39 (River NE + Bridge)
0x00B2, 40 (River NW)
0x00B3, 41 (River NW)
0x00B4, 42 (River NW)
0x00B5, 43 (River NW)
0x00B6, 44 (River NW + Bridge)
0x00B7, 45 (River NW + Bridge)
0x00B8, 46 (River NW + Bridge)
0x00B9, 47 (River NW + Bridge)
0x00BA, 48 (River E)
0x00BB, 49 (River E)
0x00BC, 50 (River E)
0x00BD, 51 (River E)
0x00BE, 52 (River E + Bridge)
0x00BF, 53 (River E + Bridge)
0x00C0, 54 (River E + Bridge)
0x00C1, 55 (River E + Bridge)
//Border Acres
0x00C2, 0 (Left)
0x00C3, 1 (Left)
0x00C4, 2 (Transition)
0x00C5, 3 (Transition)
0x00C6, 4 (Ocean Transition)
0x00C7, 5 (Ocean Transition)
0x00C8, 6 (Top)
0x00C9, 7 (Top)
0x00CA, 8 (Gate)
0x00CB, 9 (Gate)
0x00CC, 10 (Waterfall)
0x00CD, 11 (Waterfall)
0x00CE, 12 (Top Left)
0x00CF, 13 (Top Left)
0x00D0, 14 (Top Right)
0x00D1, 15 (Top Right)
0x00D2, 16 (Right)
0x00D3, 17 (Right)
0x00D4, 18 (Transition)
0x00D5, 19 (Transition)
0x00D6, 20 (Ocean Transition)
0x00D7, 21 (Ocean Transition)
0x00D8, 22 (Open Ocean)
0x00D9, 23 (Open Ocean)
//River Acres
0x00DA, 0 (EW)
0x00DB, 1 (EW)
0x00DC, 2 (EW)
0x00DD, 3 (EW)
0x00DE, 4 (EW)
0x00DF, 5 (EW)
0x00E0, 6 (EW + Bridge)
0x00E1, 7 (EW + Bridge)
0x00E2, 8 (EW + Bridge)
0x00E3, 9 (EW + Bridge)
0x00E4, 10 (EW + Bridge)
0x00E5, 11 (EW + Bridge)
0x00E6, 12 (EW + Lake)
0x00E7, 13 (EW + Lake)
0x00E8, 14 (EW + Lake)
0x00E9, 15 (EW + Lake)
0x00EA, 16 (SW)
0x00EB, 17 (SW)
0x00EC, 18 (SW)
0x00ED, 19 (SW)
0x00EE, 20 (SW)
0x00EF, 21 (SW)
0x00F0, 22 (SW)
0x00F1, 23 (SW)
0x00F2, 24 (SW + Bridge)
0x00F3, 25 (SW + Bridge)
0x00F4, 26 (SW)
0x00F5, 27 (SW + Bridge)
0x00F6, 28 (SW + Bridge)
0x00F7, 29 (SW + Bridge)
0x00F8, 30 (SW + Bridge)
0x00F9, 31 (SW + Bridge)
0x00FA, 32 (SW + Lake)
0x00FB, 33 (SW + Lake)
0x00FC, 34 (SW + Lake)
0x00FD, 35 (SW + Lake)
0x00FE, 36 (EWS)
0x00FF, 37 (EWS)
0x0100, 38 (NS)
0x0101, 39 (NS)
0x0102, 40 (NS)
0x0103, 41 (NS)
0x0104, 42 (NS)
0x0105, 43 (NS)
0x0106, 44 (NS + Bridge)
0x0107, 45 (NS + Bridge)
0x0108, 46 (NS + Bridge)
0x0109, 47 (NS + Bridge)
0x010A, 48 (NS + Bridge)
0x010B, 49 (NS + Bridge)
0x010C, 50 (Waterfall)
0x010D, 51 (Waterfall)
0x010E, 52 (Waterfall)
0x010F, 53 (Waterfall)
0x0110, 54 (Waterfall)
0x0111, 55 (Waterfall)
0x0112, 56 (NS + Lake)
0x0113, 57 (NS + Lake)
0x0114, 58 (NS + Lake)
0x0115, 59 (NS + Lake)
0x0116, 60 (NE)
0x0117, 61 (NE)
0x0118, 62 (NE)
0x0119, 63 (NE)
0x011A, 64 (NE)
0x011B, 65 (NE)
0x011C, 66 (NE)
0x011D, 67 (NE)
0x011E, 68 (NE + Bridge)
0x011F, 69 (NE + Bridge)
0x0120, 70 (NE + Bridge)
0x0121, 71 (NE + Bridge)
0x0122, 72 (NE + Bridge)
0x0123, 73 (NE + Bridge)
0x0124, 74 (NE + Bridge)
0x0125, 75 (NE + Bridge)
0x0126, 76 (NE + Lake)
0x0127, 77 (NE + Lake)
0x0128, 78 (NE + Lake)
0x0129, 79 (NE + Lake)
0x012A, 80 (NSE)
0x012B, 81 (NSE)
0x012C, 82 (NSE)
0x012D, 83 (NSE)
0x012E, 84 (NW)
0x012F, 85 (NW)
0x0130, 86 (NW)
0x0131, 87 (NW)
0x0132, 88 (NW)
0x0133, 89 (NW)
0x0134, 90 (NW)
0x0135, 91 (NW)
0x0136, 92 (NW + Bridge)
0x0137, 93 (NW + Bridge)
0x0138, 94 (NW + Bridge)
0x0139, 95 (NW + Bridge)
0x013A, 96 (NW + Bridge)
0x013B, 97 (NW + Bridge)
0x013C, 98 (NW + Bridge)
0x013D, 99 (NW + Bridge)
0x013E, 100 (NW + Lake)
0x013F, 101 (NW + Lake)
0x0140, 102 (NW + Lake)
0x0141, 103 (NW + Lake)
0x0142, 104 (EWN)
0x0143, 105 (EWN)
0x0144, 106 (EWN)
0x0145, 107 (EWN)
0x0146, 108 (NSW)
0x0147, 109 (NSW)
0x0148, 110 (NSW)
0x0149, 111 (NSW)
0x014A, 112 (EW)
0x014B, 113 (EW)
0x014C, 114 (EW)
0x014D, 115 (EW)
0x014E, 116 (EW)
0x014F, 117 (EW)
0x0150, 118 (EW + Bridge)
0x0151, 119 (EW + Bridge)
0x0152, 120 (EW + Bridge)
0x0153, 121 (EW + Bridge)
0x0154, 122 (EW + Bridge)
0x0155, 123 (EW + Bridge)
0x0156, 124 (EW + Lake)
0x0157, 125 (EW + Lake)
0x0158, 126 (EW + Lake)
0x0159, 127 (EW + Lake)
0x015A, 128 (SE)
0x015B, 129 (SE)
0x015C, 130 (SE)
0x015D, 131 (SE)
0x015E, 132 (SE)
0x015F, 133 (SE)
0x0160, 134 (SE)
0x0161, 135 (SE)
0x0162, 136 (SE + Bridge)
0x0163, 137 (SE + Bridge)
0x0164, 138 (SE + Bridge)
0x0165, 139 (SE + Bridge)
0x0166, 140 (SE + Bridge)
0x0167, 141 (SE + Bridge)
0x0168, 142 (SE + Bridge)
0x0169, 143 (SE + Bridge)
0x016A, 144 (SE + Lake)
0x016B, 145 (SE + Lake)
0x016C, 146 (SE + Lake)
0x016D, 147 (SE + Lake)
0x016E, 148 (EWS)
0x016F, 149 (EWS)
